,song_name,song_link,song_id,song_uri,album_name,album_id,album_uri,artist_name,artist_id,artist_uri,duration_seconds,album_song_count,song_popularity,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_genres,album_genres
0,The Lion Sleeps Tonight (Wimoweh),https://open.spotify.com/track/2F4FNcz68howQWD4zaGJSi,2F4FNcz68howQWD4zaGJSi,spotify:track:2F4FNcz68howQWD4zaGJSi,Wimoweh!!! - The Best Of The Tokens,6NBox81OQox7U4I0hZB9t0,spotify:album:6NBox81OQox7U4I0hZB9t0,The Tokens,1GAJzApRTMmYZ9EjQ91VOy,spotify:artist:1GAJzApRTMmYZ9EjQ91VOy,162.093,20,64,1993-10-25,0.321,0.474,5,-9.383,1,0.0348,0.743,0.0,0.204,0.804,121.199,"['doo-wop', 'sunshine pop']",[]
1,Run to Him,https://open.spotify.com/track/3ZSoXoMAywxLWO6rn2QV5e,3ZSoXoMAywxLWO6rn2QV5e,spotify:track:3ZSoXoMAywxLWO6rn2QV5e,Let Them Fall in Love,38jktl2c8ZRqyKDV25XgNt,spotify:album:38jktl2c8ZRqyKDV25XgNt,CeCe Winans,3qfrrrSO7utFdJkM2tvMRb,spotify:artist:3qfrrrSO7utFdJkM2tvMRb,205.269,10,26,2017-02-03,0.679,0.815,7,-5.691,1,0.0503,0.428,0.0,0.131,0.699,129.908,['gospel'],[]
2,The Twist,https://open.spotify.com/track/3ohLnESFgYACPMCkoTOzqE,3ohLnESFgYACPMCkoTOzqE,spotify:track:3ohLnESFgYACPMCkoTOzqE,The Best Of Chubby Checker 1959-1963,4I4NKz4jIy7hYke8jvCpPA,spotify:album:4I4NKz4jIy7hYke8jvCpPA,Chubby Checker,7qQJQ3YtcGlqaLg5tcypN2,spotify:artist:7qQJQ3YtcGlqaLg5tcypN2,153.76,24,56,2005-01-01,0.533,0.638,4,-7.13,1,0.0341,0.202,0.0,0.0729,0.937,156.663,"['adult standards', 'brill building pop', 'doo-wop', 'rock-and-roll', 'rockabilly']",[]
3,Goodbye Cruel World,https://open.spotify.com/track/0ZXkKRO789QKBR6ME7pIDF,0ZXkKRO789QKBR6ME7pIDF,spotify:track:0ZXkKRO789QKBR6ME7pIDF,The Wall,5Dbax7G8SWrP9xyzkOvy2F,spotify:album:5Dbax7G8SWrP9xyzkOvy2F,Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,spotify:artist:0k17h0D3J5VfsdmQ1iZtE9,73.429,26,54,1979-11-30,0.471,0.0118,2,-31.734,1,0.0407,0.782,0.799,0.247,0.0701,102.881,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",[]
4,Walk On By,https://open.spotify.com/track/6hXSVZlnfDAf89Sh0V9hEY,6hXSVZlnfDAf89Sh0V9hEY,spotify:track:6hXSVZlnfDAf89Sh0V9hEY,Black Labyrinth,1cM7aKLVCW8dJ16nZHtfFJ,spotify:album:1cM7aKLVCW8dJ16nZHtfFJ,Jonathan Davis,1VW5tZ9pmSb2rG0GmSELwW,spotify:artist:1VW5tZ9pmSb2rG0GmSELwW,220.682,13,31,2018-05-25,0.601,0.951,8,-3.079,1,0.0594,0.0582,0.000287,0.12,0.345,120.004,"['alternative metal', 'industrial metal', 'nu metal', 'rap rock']",[]
5,Peppermint Twist Part I,https://open.spotify.com/track/3RW8ZidI0OE9BnzZeNoNQv,3RW8ZidI0OE9BnzZeNoNQv,spotify:track:3RW8ZidI0OE9BnzZeNoNQv,Doin' the Twist at the Peppermint Lounge. Recorded Live,7iVTSLrXMIsjeOFlLGS630,spotify:album:7iVTSLrXMIsjeOFlLGS630,Joey Dee & The Starliters,5a1eYf2G4v4UKubimlfGAJ,spotify:artist:5a1eYf2G4v4UKubimlfGAJ,259.266,10,0,2011-01-03,0.326,0.816,8,-14.825,1,0.0527,0.881,0.326,0.185,0.826,147.213,[],[]
6,Please Mr. Postman,https://open.spotify.com/track/6jX5mso4x00c1EiNMrTU9U,6jX5mso4x00c1EiNMrTU9U,spotify:track:6jX5mso4x00c1EiNMrTU9U,Please Mr. Postman,65n7GqedAHDVRWNh3msH1V,spotify:album:65n7GqedAHDVRWNh3msH1V,The Marvelettes,0MponVSpW81oLvJZ53vYZH,spotify:artist:0MponVSpW81oLvJZ53vYZH,148.04,11,67,1961,0.785,0.776,2,-5.259,1,0.0312,0.729,0.0,0.181,0.967,121.505,"['brill building pop', 'classic girl group', 'classic soul', 'motown', 'rhythm and blues', 'soul', 'southern soul']",[]
7,"Happy Birthday, Sweet Sixteen",https://open.spotify.com/track/5ttys6S3vGWCgOpiuB5axN,5ttys6S3vGWCgOpiuB5axN,spotify:track:5ttys6S3vGWCgOpiuB5axN,Circulate (Expanded Edition),66qxRQqOy7kVcsVpT0OVFZ,spotify:album:66qxRQqOy7kVcsVpT0OVFZ,Neil Sedaka,5N6GwJzOcOY5kv8p0NjhYL,spotify:artist:5N6GwJzOcOY5kv8p0NjhYL,157.026,26,45,1960-12-30,0.498,0.796,8,-4.882,1,0.0453,0.607,0.0,0.3,0.906,79.648,"['adult standards', 'brill building pop', 'bubblegum pop', 'lounge', 'mellow gold', 'merseybeat', 'rockabilly', 'soft rock']",[]
8,Let There Be Drums,https://open.spotify.com/track/4sVRlxwP6qE2Fj41H4LsO8,4sVRlxwP6qE2Fj41H4LsO8,spotify:track:4sVRlxwP6qE2Fj41H4LsO8,Wild in London,2h0J36X3ryelWC1ECOT1uk,spotify:album:2h0J36X3ryelWC1ECOT1uk,The Tubes,7zfhej6FnVXN9LIXs6dcoK,spotify:artist:7zfhej6FnVXN9LIXs6dcoK,230.32,14,1,2005,0.466,0.94,2,-8.949,1,0.0994,0.000792,0.793,0.946,0.747,115.665,"['album rock', 'art rock', 'classic rock', 'dance rock', 'mellow gold', 'new wave', 'new wave pop', 'power pop', 'soft rock', 'zolo']",[]
9,Can't Help Falling in Love,https://open.spotify.com/track/44AyOl4qVkzS48vBsbNXaC,44AyOl4qVkzS48vBsbNXaC,spotify:track:44AyOl4qVkzS48vBsbNXaC,Blue Hawaii,7xe8VI48TxUpU1IIo0RfGi,spotify:album:7xe8VI48TxUpU1IIo0RfGi,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,spotify:artist:43ZHCT0cAZBISjO8DG9PnE,182.36,14,77,1961-10-20,0.396,0.293,2,-14.062,1,0.0275,0.941,0.000196,0.105,0.343,100.307,"['adult standards', 'rock-and-roll', 'rockabilly']",[]
