,song_name,song_link,song_id,song_uri,album_name,album_id,album_uri,artist_name,artist_id,artist_uri,duration_seconds,album_song_count,song_popularity,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_genres,album_genres
0,Perfect,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,0tgVpDi06FyKpA1z0VMD4v,spotify:track:0tgVpDi06FyKpA1z0VMD4v,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,spotify:album:3T4tUhGYeRNVUGevb0wThu,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,263.4,16,85,2017-03-03,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,"['pop', 'uk pop']",[]
3,Gucci Gang,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc,43ZyHQITOjhciSUUNPVRHc,spotify:track:43ZyHQITOjhciSUUNPVRHc,Lil Pump,2VVvm4zJlUQm9XmBCvGN6z,spotify:album:2VVvm4zJlUQm9XmBCvGN6z,Lil Pump,3wyVrVrFCkukjdVIdirGVY,spotify:artist:3wyVrVrFCkukjdVIdirGVY,124.055,15,72,2017-10-06,0.936,0.523,5,-6.71,1,0.0597,0.239,0.0,0.117,0.699,119.889,"['emo rap', 'miami hip hop', 'rap', 'trap']",[]
4,Thunder,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,1zB4vmk8tFRmM9UULNzbLB,spotify:track:1zB4vmk8tFRmM9UULNzbLB,Evolve,33pt9HBdGlAbRGBHQgsZsU,spotify:album:33pt9HBdGlAbRGBHQgsZsU,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,spotify:artist:53XhwfbYqKCa1cC15pYq2q,187.146,12,84,2017-06-23,0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,"['modern rock', 'rock']",[]
5,"Motorsport (Originally Performed By Migos, Nicki Minaj & Cardi B)",https://open.spotify.com/track/0bMqUbRs5r5aoTzrP6mA3G,0bMqUbRs5r5aoTzrP6mA3G,spotify:track:0bMqUbRs5r5aoTzrP6mA3G,"Motorsport (Originally Performed By Migos, Nicki Minaj & Cardi B) [Instrumental Version]",2eNXuacs6UtMU7N4iRhMPH,spotify:album:2eNXuacs6UtMU7N4iRhMPH,i-genius,4t4RKa5uzmHrh4TVIE3R2c,spotify:artist:4t4RKa5uzmHrh4TVIE3R2c,190.747,1,2,2017-11-16,0.698,0.832,2,-4.497,1,0.103,0.0681,0.789,0.259,0.73,139.011,[],[]
6,Too Good At Goodbyes,https://open.spotify.com/track/3VlbOrM6nYPprVvzBZllE5,3VlbOrM6nYPprVvzBZllE5,spotify:track:3VlbOrM6nYPprVvzBZllE5,The Thrill Of It All (Special Edition),3XftSbguntyRTBQaGItmfK,spotify:album:3XftSbguntyRTBQaGItmfK,Sam Smith,2wY79sveU1sp5g7SokKOiI,spotify:artist:2wY79sveU1sp5g7SokKOiI,201.0,14,75,2017-11-03,0.681,0.372,5,-8.237,1,0.0432,0.64,0.0,0.169,0.476,91.873,"['pop', 'post-teen pop', 'uk pop']",[]
7,Bad At Love,https://open.spotify.com/track/7y9iMe8SOB6z3NoHE2OfXl,7y9iMe8SOB6z3NoHE2OfXl,spotify:track:7y9iMe8SOB6z3NoHE2OfXl,hopeless fountain kingdom (Deluxe),7GjG91tyHQNGEHzKJaqOi0,spotify:album:7GjG91tyHQNGEHzKJaqOi0,Halsey,26VFTg2z8YR0cCuwLzESi2,spotify:artist:26VFTg2z8YR0cCuwLzESi2,181.279,16,75,2017-06-02,0.675,0.751,0,-3.539,1,0.0296,0.0604,0.0,0.0893,0.612,118.384,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",[]
8,All I Want for Christmas Is You - Mariah's New Dance Mix Extended 2009,https://open.spotify.com/track/4I5Hn34v6foGP3ta9Xx0rN,4I5Hn34v6foGP3ta9Xx0rN,spotify:track:4I5Hn34v6foGP3ta9Xx0rN,Merry Christmas (Deluxe Anniversary Edition),0cS9prZ8u3fdbc7lmtCaMV,spotify:album:0cS9prZ8u3fdbc7lmtCaMV,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ,401.68,29,31,2019-11-01,0.695,0.652,11,-7.828,0,0.0751,0.000441,5.66e-06,0.0667,0.744,128.024,"['dance pop', 'pop', 'r&b', 'urban contemporary']",[]
10,Bodak Yellow (Money Moves),https://open.spotify.com/track/3g2qgbWPl8TcgJIkstWpSV,3g2qgbWPl8TcgJIkstWpSV,spotify:track:3g2qgbWPl8TcgJIkstWpSV,Bodak Yellow (Money Moves) [Originally performed by Cardi B],4vqBWMIOx7gLfYKFSbl7XS,spotify:album:4vqBWMIOx7gLfYKFSbl7XS,2017 Dynamo Hitz,2Z88fKsL22PDUEVWwAR1RT,spotify:artist:2Z88fKsL22PDUEVWwAR1RT,220.395,2,19,2017-09-13,0.813,0.574,9,-9.401,1,0.0577,0.0606,0.0,0.428,0.546,124.982,[],[]
11,GUMMO,https://open.spotify.com/track/4HbiCvH1R7mVOJ7KY7JQBD,4HbiCvH1R7mVOJ7KY7JQBD,spotify:track:4HbiCvH1R7mVOJ7KY7JQBD,Day69: Graduation Day,1ubczeMvCrPHbSEjgfu4a7,spotify:album:1ubczeMvCrPHbSEjgfu4a7,6ix9ine,7gZfnEnfiaHzxARJ2LeXrf,spotify:artist:7gZfnEnfiaHzxARJ2LeXrf,157.643,12,68,2018-04-10,0.66,0.775,2,-4.926,1,0.172,0.0553,0.0,0.129,0.635,157.036,"['emo rap', 'rap', 'trap']",[]
13,New Rules,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,2ekn2ttSfGqwhhate0LSR0,spotify:track:2ekn2ttSfGqwhhate0LSR0,Dua Lipa (Deluxe),01sfgrNbnnPUEyz6GZYlt9,spotify:album:01sfgrNbnnPUEyz6GZYlt9,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,spotify:artist:6M2wZ9GZgrQXHCFfjv46we,209.32,17,82,2017-06-02,0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",[]
