,song_name,song_link,song_id,song_uri,album_name,album_id,album_uri,artist_name,artist_id,artist_uri,duration_seconds,album_song_count,song_popularity,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_genres,album_genres
0,Escape (The Pina Colada Song),https://open.spotify.com/track/5IMtdHjJ1OtkxbGe4zfUxQ,5IMtdHjJ1OtkxbGe4zfUxQ,spotify:track:5IMtdHjJ1OtkxbGe4zfUxQ,Partners In Crime,163iYwl7Kdm9ayTnD4VyfN,spotify:album:163iYwl7Kdm9ayTnD4VyfN,Rupert Holmes,0TqIPD4IS1w4e30R38B3vj,spotify:artist:0TqIPD4IS1w4e30R38B3vj,276.493,10,71,1979-01-01,0.836,0.509,0,-13.668,1,0.0548,0.467,4.1e-06,0.0436,0.949,138.713,"['soft rock', 'yacht rock']",[]
1,Please Don't Go,https://open.spotify.com/track/6dw6BquK0Mv72p6HpusqKN,6dw6BquK0Mv72p6HpusqKN,spotify:track:6dw6BquK0Mv72p6HpusqKN,Do You Wanna Go Party,1VyflnFsIEfcxPj4JgM5QR,spotify:album:1VyflnFsIEfcxPj4JgM5QR,KC & The Sunshine Band,3mQBpAOMWYqAZyxtyeo4Lo,spotify:artist:3mQBpAOMWYqAZyxtyeo4Lo,230.533,7,47,1979-05-01,0.482,0.615,6,-11.093,1,0.0398,0.00888,1.78e-06,0.0431,0.437,96.307,"['disco', 'funk', 'motown', 'soft rock']",[]
2,Babe,https://open.spotify.com/track/5W7YROOF6bFfBexY81LFjt,5W7YROOF6bFfBexY81LFjt,spotify:track:5W7YROOF6bFfBexY81LFjt,Cornerstone,0RhPpU4BvtF44qdvFnGQuh,spotify:album:0RhPpU4BvtF44qdvFnGQuh,Styx,4salDzkGmfycRqNUbyBphh,spotify:artist:4salDzkGmfycRqNUbyBphh,265.973,9,62,1979-01-01,0.267,0.204,2,-13.714,1,0.0317,0.527,0.0,0.0924,0.0903,169.486,"['album rock', 'art rock', 'classic rock', 'folk rock', 'hard rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']",[]
3,Send One Your Love,https://open.spotify.com/track/3GcHkmz4horYIEPYvdB0xF,3GcHkmz4horYIEPYvdB0xF,spotify:track:3GcHkmz4horYIEPYvdB0xF,Journey Through The Secret Life Of Plants,3LSgLZrSXELqWt5eqb6XMY,spotify:album:3LSgLZrSXELqWt5eqb6XMY,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,spotify:artist:7guDJrEfX3qb6FEbdPA5qi,242.333,20,38,1979-10-30,0.624,0.358,0,-17.456,0,0.0814,0.715,1.25e-05,0.0862,0.418,72.841,"['adult standards', 'funk', 'motown', 'quiet storm', 'soul']",[]
4,Still,https://open.spotify.com/track/2LdtluFBgL8cuSo9nkvJ57,2LdtluFBgL8cuSo9nkvJ57,spotify:track:2LdtluFBgL8cuSo9nkvJ57,All The Great Love Songs,5ZsWgDWvZ2luAHlczO8h2o,spotify:album:5ZsWgDWvZ2luAHlczO8h2o,Commodores,6twIAGnYuIT1pncMAsXnEm,spotify:artist:6twIAGnYuIT1pncMAsXnEm,224.866,14,44,1985,0.355,0.0629,1,-19.544,1,0.0338,0.899,0.000631,0.0975,0.203,124.422,"['adult standards', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']",[]
5,Do That To Me One More Time,https://open.spotify.com/track/0m4jVVZrsv0bLkAr1uM6UG,0m4jVVZrsv0bLkAr1uM6UG,spotify:track:0m4jVVZrsv0bLkAr1uM6UG,Make Your Move,6J8P3xCsQr5BPoEoukStSk,spotify:album:6J8P3xCsQr5BPoEoukStSk,Captain & Tennille,7BEfMxbaqx6dOpbtlEqScm,spotify:artist:7BEfMxbaqx6dOpbtlEqScm,256.666,8,62,1979-01-01,0.728,0.524,7,-8.227,1,0.0255,0.563,0.000131,0.0913,0.51,90.262,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'disco', 'folk', 'folk rock', 'mellow gold', 'soft rock', 'yacht rock']",[]
6,"Enough Is Enough (No More Tears) (Streisand - Summer, Barbra - Donna) instr",https://open.spotify.com/track/4PHygQCfcKE8FiE0xJ6l6F,4PHygQCfcKE8FiE0xJ6l6F,spotify:track:4PHygQCfcKE8FiE0xJ6l6F,A Salute To Barbra Streisand,6ewGx9oWOnaZrah6e2lQqz,spotify:album:6ewGx9oWOnaZrah6e2lQqz,Adult Contemporary All-Stars,4lDckMDwPyxgRDbFCVV76a,spotify:artist:4lDckMDwPyxgRDbFCVV76a,296.853,82,0,2010-08-02,0.45,0.589,2,-14.39,0,0.0339,0.0192,0.807,0.276,0.448,131.149,[],[]
7,Ladies Night,https://open.spotify.com/track/1i2ZI3tXuJUEjCY6zF3G9w,1i2ZI3tXuJUEjCY6zF3G9w,spotify:track:1i2ZI3tXuJUEjCY6zF3G9w,The 50 Greatest Songs,7nczA7OKxHt7nJzhEWWRb1,spotify:album:7nczA7OKxHt7nJzhEWWRb1,Kool & The Gang,3VNITwohbvU5Wuy5PC6dsI,spotify:artist:3VNITwohbvU5Wuy5PC6dsI,205.68,50,57,2007-10-29,0.684,0.659,9,-9.549,1,0.18,0.216,3.16e-05,0.0674,0.921,111.393,"['disco', 'funk', 'motown', 'post-disco', 'quiet storm', 'soul']",[]
8,Take The Long Way Home - 2010 Remastered,https://open.spotify.com/track/0v0XYK0pLgsPiq5u4FKHaw,0v0XYK0pLgsPiq5u4FKHaw,spotify:track:0v0XYK0pLgsPiq5u4FKHaw,Breakfast In America (Deluxe Edition),1zcm3UvHNHpseYOUfd0pna,spotify:album:1zcm3UvHNHpseYOUfd0pna,Supertramp,3JsMj0DEzyWc0VDlHuy9Bx,spotify:artist:3JsMj0DEzyWc0VDlHuy9Bx,308.853,22,63,1979-03-29,0.414,0.7,5,-8.838,1,0.0301,0.22,0.000721,0.114,0.37,76.79,"['album rock', 'art rock', 'classic rock', 'glam rock', 'mellow gold', 'piano rock', 'progressive rock', 'rock', 'soft rock']",[]
9,Rock With You (Michael Jackson) (Live),https://open.spotify.com/track/2TrMNjOkbhIcFrSf7dfC3M,2TrMNjOkbhIcFrSf7dfC3M,spotify:track:2TrMNjOkbhIcFrSf7dfC3M,Just Me,2IvF79xXXG5hiZwK3blDMc,spotify:album:2IvF79xXXG5hiZwK3blDMc,Brian McKnight,6k0IBR0lU42s2GYpNX7kA9,spotify:artist:6k0IBR0lU42s2GYpNX7kA9,177.586,40,17,2011-07-12,0.628,0.34,10,-10.222,0,0.0354,0.949,0.000317,0.763,0.32,115.935,"['dance pop', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",[]
