,song_name,song_link,song_id,song_uri,album_name,album_id,album_uri,artist_name,artist_id,artist_uri,duration_seconds,album_song_count,song_popularity,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_genres,album_genres
0,The Monster (Originally Performed by Eminem & Rihanna) [Karaoke Version],https://open.spotify.com/track/34XS9dsi2pnGcyJ87JNT8f,34XS9dsi2pnGcyJ87JNT8f,spotify:track:34XS9dsi2pnGcyJ87JNT8f,"Graduation Karaoke Party! 2014: The Ultimate Hiphop & Pop Celebration Featuring Today My Life Begins, Dark Horse, Work Bitch, High School, + More!",7IFZivwp0ttfEtkQjBukRh,spotify:album:7IFZivwp0ttfEtkQjBukRh,The Hip Hop Nation,0eEyJYLYfx1dY8rsVsNVG0,spotify:artist:0eEyJYLYfx1dY8rsVsNVG0,251.245,50,1,2014-05-22,0.706,0.414,1,-11.784,0,0.0543,5.31e-05,0.683,0.099,0.192,110.009,[],[]
2,Counting Stars,https://open.spotify.com/track/6sy3LkhNFjJWlaeSMNwQ62,6sy3LkhNFjJWlaeSMNwQ62,spotify:track:6sy3LkhNFjJWlaeSMNwQ62,Native,2bbhW5ifCwOYM8DMkqoYBF,spotify:album:2bbhW5ifCwOYM8DMkqoYBF,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,257.839,15,73,2014-01-01,0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.115,0.477,122.017,"['dance pop', 'neo mellow', 'piano rock', 'pop', 'pop rock']",[]
3,Royals,https://open.spotify.com/track/2dLLR6qlu5UJ5gk0dKz0h3,2dLLR6qlu5UJ5gk0dKz0h3,spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,Pure Heroine,0rmhjUgoVa17LZuS8xWQ3v,spotify:album:0rmhjUgoVa17LZuS8xWQ3v,Lorde,163tK9Wjr9P9DmM0AVK7lm,spotify:artist:163tK9Wjr9P9DmM0AVK7lm,190.185,10,77,2013-01-01,0.674,0.428,7,-9.504,1,0.122,0.121,0.0,0.132,0.337,84.878,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop', 'post-teen pop']",[]
4,Demons,https://open.spotify.com/track/3LlAyCYU26dvFZBDUIMb7a,3LlAyCYU26dvFZBDUIMb7a,spotify:track:3LlAyCYU26dvFZBDUIMb7a,Night Visions,6htgf3qv7vGcsdxLCDxKp8,spotify:album:6htgf3qv7vGcsdxLCDxKp8,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,spotify:artist:53XhwfbYqKCa1cC15pYq2q,175.2,12,71,2012-09-04,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.329,0.428,89.938,"['modern rock', 'rock']",[]
5,Wake Me Up,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD,4h8VwCb1MTGoLKueQ1WgbD,spotify:track:4h8VwCb1MTGoLKueQ1WgbD,True,1s9tU91VJt4sU5owi29GD3,spotify:album:1s9tU91VJt4sU5owi29GD3,Avicii,1vCWHaC5f2uS3yhpwWbIA6,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,247.426,12,82,2013-01-01,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,"['big room', 'edm', 'pop']",[]
6,Wrecking Ball,https://open.spotify.com/track/2vwlzO0Qp8kfEtzTsCXfyE,2vwlzO0Qp8kfEtzTsCXfyE,spotify:track:2vwlzO0Qp8kfEtzTsCXfyE,Bangerz (Deluxe Version),3RDqXDc1bAETps54MSSOW0,spotify:album:3RDqXDc1bAETps54MSSOW0,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,spotify:artist:5YGY8feqx7naU7z4HrwZM6,221.36,16,74,2013-10-04,0.53,0.422,5,-6.262,1,0.0342,0.407,0.0,0.107,0.349,119.964,"['dance pop', 'pop', 'post-teen pop']",[]
7,Let Her Go,https://open.spotify.com/track/0JmiBCpWc1IAc0et7Xm7FL,0JmiBCpWc1IAc0et7Xm7FL,spotify:track:0JmiBCpWc1IAc0et7Xm7FL,All the Little Lights (Deluxe Version),0yWveEIgWbV3oPq4ZA6BAj,spotify:album:0yWveEIgWbV3oPq4ZA6BAj,Passenger,0gadJ2b9A4SKsB1RFkBb66,spotify:artist:0gadJ2b9A4SKsB1RFkBb66,252.733,20,75,2013-02-17,0.479,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.244,74.897,"['folk-pop', 'neo mellow', 'pop']",[]
8,Story Of My Life,https://open.spotify.com/track/3KjM6knuzzgB9xafW1OSxZ,3KjM6knuzzgB9xafW1OSxZ,spotify:track:3KjM6knuzzgB9xafW1OSxZ,"NOW That's What I Call Music!, Vol. 60 (Deluxe Edition)",74BVAeJgcJjomcDq9HKii7,spotify:album:74BVAeJgcJjomcDq9HKii7,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq,243.24,36,18,2016-11-04,0.6,0.667,3,-5.709,1,0.0465,0.236,0.0,0.156,0.32,121.051,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'talent show']",[]
10,Roar,https://open.spotify.com/track/6F5c58TMEs1byxUstkzVeM,6F5c58TMEs1byxUstkzVeM,spotify:track:6F5c58TMEs1byxUstkzVeM,PRISM (Deluxe),5MQBzs5YlZlE28mD9yUItn,spotify:album:5MQBzs5YlZlE28mD9yUItn,Katy Perry,6jJ0s89eD6GaHleKKya26X,spotify:artist:6jJ0s89eD6GaHleKKya26X,223.546,16,77,2013-01-01,0.554,0.772,7,-4.821,0,0.0418,0.00487,6.6e-06,0.354,0.455,179.984,"['dance pop', 'pop', 'post-teen pop']",[]
11,Burn,https://open.spotify.com/track/0xMd5bcWTbyXS7wPrBtZA6,0xMd5bcWTbyXS7wPrBtZA6,spotify:track:0xMd5bcWTbyXS7wPrBtZA6,Halcyon Days,3KVeczHxWg5YFKb0gS62f2,spotify:album:3KVeczHxWg5YFKb0gS62f2,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,spotify:artist:0X2BH1fck6amBIoJhDVmmJ,231.211,21,64,2013-01-01,0.559,0.777,1,-5.031,1,0.0432,0.31,0.0,0.105,0.329,87.016,"['dance pop', 'edm', 'metropopolis', 'pop', 'post-teen pop', 'tropical house', 'uk pop']",[]
