,title,lyrics,artistsFromLyrics,artists,date,rank,cnt
0,"Say You, Say Me","[Chorus]
Say you, say me
Say it for always, that's the way it should be
Say you, say me
Say it together, naturally

[Verse 1]
I had a dream, I had an awesome dream
People in the park playing games in the dark
And what they played was a masquerade
And from behind of walls of doubt a voice was crying out

[Chorus]
Say you, say me
Say it for always, that's the way it should be
Say you, say me
Say it together, naturally

[Verse 2]
As we go down life's lonesome highway
Seems the hardest thing to do is to find a friend or two
A helping hand - someone who understands
That when you feel you've lost your way
You've got someone there to say
I'll show you

[Chorus]
Say you, say me
Say it for always, that's the way it should be
Say you, say me
Say it together, naturally

[Bridge]
So you think you know the answers - oh no
Because the whole world has got you dancing, that's right
I'm telling you
It's time to start believing - oh yes
Believing who you are - you are a shining star

[Chorus]
Say you, say me
Say it for always, that's the way it should be
Say you, say me
Say it together, naturally",Lionel Richie,Lionel Richie,1985,"[1, 1, 3, 5, 12, 22, 32, 40]",8
1,Party All The Time,"[Verse 1]
Girl, I can't understand it why you want to hurt me
After all the things I've done for you
I buy you champagne and roses put diamonds on your finger
(Diamonds on your finger)
Still, you hang out all night
What am I to do?

[Chorus 1: Eddie Murphy & Rick James]
My girl wants to party all the time
Party all the time
Party all the time
My girl wants to party all the time
Party all the time
She parties all the time

[Bridge 1: Rick James]
(Party all the time)
She likes to party all the time
(Party all the time)
(Party all the time)
She likes to party all the time
(Party all the time)

[Verse 2]
Girl, I've seen you in clubs just hanging out and dancing
You give your number to every man you see
You never come home at night because you're out romancing
I wish you bring some of your love home to me

[Chorus 2: Eddie Murphy & Rick James]
But my girl wants to party all the time
Party all the time
Party all the time
My girl wants to party all the time
Party all the time
Party all the time
My girl wants to party all the time
Party all the time
Party all the time
My girl wants to party all the time
Party all the time, yeah

[Bridge 2]
(Party, party)
She likes to party all the time
(Party, party, party, party, party)

[Outro: Rick James]
She likes to party all the time, yeah
She lets her hair down
She likes to party down
She likes to party
She likes to party down
(Party all the time)
Oh, now get down and party, yeah
(Party all the time)
(Party all the time)",Eddie Murphy,Eddie Murphy,1985,"[2, 3, 4, 9, 9, 17, 24, 35, 43, 59, 66, 72, 82]",13
2,Alive & Kicking,"You turn me on, you lift me up
And like the sweetest cup I'd share with you
You lift me up, don't you ever stop, I'm here with you
Now it's all or nothing
Cause you say you'll follow through
You follow me, and I, I, I follow you

What you gonna do when things go wrong?
What you gonna do when it all cracks up?
What you gonna do when the Love burns down?
What you gonna do when the flames go up?
Who is gonna come and turn the tide?
What's it gonna take to make a dream survive?
Who's got the touch to calm the storm inside?
Who's gonna save you?
Alive and Kicking
Stay until your love is, Alive and Kicking
Stay until your love is, until your love is, Alive

Oh you lift me up to the crucial top, so I can see
Oh you lead me on, till the feelings come
And the lights that shine on
But if that don't mean nothing
Like if someday it should fall through
You'll take me home where the magic's from
And I'll be with you

What you gonna do when things go wrong?
What you gonna do when it all cracks up?
What you gonna do when the Love burns down?
What you gonna do when the flames go up?
Who is gonna come and turn the tide?
What's it gonna take to make a dream survive?
Who's got the touch to calm the storm inside?
Don't say goodbye
Don't say goodbye
In the final seconds who's gonna save you?

Oh, Alive and Kicking
Stay until your love is, love is, Alive and Kicking
Oh, Alive and Kicking
Stay until your love is, love is, Alive and Kicking",Simple Minds,Simple Minds,1985,"[3, 4, 7, 11, 11, 18, 22, 28, 33, 38, 52]",11
3,That's What Friends Are For,"And I never thought I'd feel this way
And as far as I'm concerned
I'm glad I got the chance to say
That I do believe I love you
And if I should ever go away
Well
Then close your eyes and try
To feel the way we do today
And then if you can remember:
Keep smilin'
Keep shinin'
Knowing you can always count on me for sure -
That's what friends are for
For good times and bad times
I'll be on your side forever more -
That's what friends are for
Well
You came and opened me
And now there's so much more I see
And so by the way I thank you
Oh
And then for the times when we're apart
Well
Then close your eyes
And lovely words are comin' from my heart
And then if you can remember:
Keep smilin'
Keep shinin'
. . 
Keep smilin'
Keep shinin'
. . ",Dionne Friends,Dionne & Friends,1985,"[4, 8, 14, 16, 27, 39, 57, 67]",8
4,I Miss You,"[Verse 1:]
Thought I heard your voice yesterday
Then I turned around to say
That I loved you
Then I realized that
It was just my mind playing tricks on me

It seems colder lately at night
And I try to sleep with the lights on
Every time the phone rings
I pray to God it's you
I just can't believe
That we're through

[Chorus:]
I miss you
(I miss you)
There's no other way to say it
And I
And I can't deny it

I miss you
(I miss you)
It's so easy to see
I miss you and me

[Verse 2:]
Is it done
And over this time?
Can we ever change our minds?

But it's our first love
All the feelings that we used to share
I refuse to believe
That you don't care

[Repeat Chorus:]

[Bridge:]
I've got to gather my senses together
I've been through worse kinds of weather
If it's over now
(Over now)
Be strong
(Be strong)
I can't believe that you're gone
I've got to carry on

[Repeat Chorus:]",Klymaxx,Klymaxx,1985,"[5, 7, 9, 13, 16, 19, 23, 31, 36, 40, 46, 49, 56, 61, 74, 86]",16
5,Small Town,"Well, I was born in a small town
And I live in a small town
Probably die in a small town
Oh, those small communities

All my friends are so small town
My parents live in the same small town
My job is so small town
Provides little opportunity

Educated in a small town
Taught the fear of Jesus in a small town
Used to daydream in that small town
Another boring romantic that's me

But I've seen it all in a small town
Had myself a ball in a small town
Married an L.A. doll and brought her to this small town
Now she's small town just like me

No, I cannot forget where it is that I come from
I cannot forget the people who love me
Yeah, I can be myself here in this small town
And people let me be just what I want to be

Got nothing against a big town
Still hayseed enough to say
Look who's in the big town
But my bed is in a small town
Oh, and that's good enough for me

Well, I was born in a small town
And I can breathe in a small town
Gonna die in this small town
And that's probably where they'll bury me",John Mellencamp,John Mellencamp,1985,"[6, 9, 12, 14, 21, 25, 36, 42, 51]",9
6,Broken Wings,"[Verse 1]
Baby, don't understand
Why we can't just hold on to each other's hands?
This time might be the last if fear unless
I make it all too clear I need you so, ohh

[Chorus]
Take these broken wings
And learn to fly again, learn to live so free
When we hear the voices sing
The book of love will open up and let us in
Take these broken wings

[Verse 2]
Baby, I think tonight
We can take what was wrong and make it right
Baby, it's all I know that you're half of the flesh
And blood that makes me whole, I need you so

[Chorus]
So take these broken wings
And learn to fly again, learn to live so free
When we hear the voices sing
The book of love will open up and let us in
Take these broken wings
You've got to learn to fly, learn to live, love so free
When we hear the voices sing
The book of love will open up and let us in
Yeah, yeah
Let us in
Let us in

[Bridge]
Baby, it's all I know that you're half of the flesh
And blood that makes me whole
Yeah, yeah, yeah, yeah, yeah

[Chorus]
So take these broken wings
And learn to fly again, learn to live so free
And when we hear the voices sing
The book of love will open up and let us in
Take these broken wings
You got to learn to fly, learn to live and love so free
When we hear the voices sing
The book of love will open up for us and let us in
Yeah, yeah, yeah, yeah, ooh",Mr. Mister,Mr. Mister,1985,"[7, 2, 1, 1, 3, 4, 7, 11, 20, 27, 35, 41, 50, 66, 84]",15
7,Separate Lives,"[Verse 1]
You called me from the room in your hotel
All full of romance for someone that you met
And telling me how sorry you were, leaving so soon
And that you miss me sometimes when you're alone in your room
Do i feel lonely too?

[Chorus]
You have no right to ask me how i feel
You have no right to speak to me so kind
I can't go on just holding on to time
Now that we're living separate lives

[Verse 2]
Well i held on to let you go
And if you lost your love for me, well you never let it show
There was no way to compromise
So now we're living (living)
Separate lives

[Bridge]
Ooh, it's so typical, love leads to isolation
So you build that wall (build that wall)
Yes, you build that wall (build that wall)
And you make it stronger

[Chorus]",Phil Collins,Phil Collins and Marilyn Martin,1985,"[8, 5, 2, 2, 1, 3, 6, 7, 15, 20, 29, 37, 45]",13
8,Tonight She Comes,"I know tonight she comes
She's takin' a swipe at fun
She gives me a reason
For sighting my sights
Well I know tonight she comes
She jangles me up
She does it with ease
And sometimes she passes through me
Just like a breeze
She gives me a reason
For feelin' all right
Oh well
(know tonight, I know tonight)
I know tonight
(know tonight, I know tonight)
I know tonight
(know tonight, I know tonight)
She comes

And I know she's gonna do it to me
One more time (one more time)
I know she's gonna stay implanted
In my mind
Why does she keep me hanging on the line, oh
(why does she keep me hanging on the liiiiiiine)

Ah yeah, I know she's gonna do it to me
One more time (one more time)
I know she's gonna stay implanted
In my mind
Oh, why does she keep me hanging on the line, oh yeah
(why does she keep me hanging on the liiiiiiine)

I know the way she feels
And all of the hearts that she steals
She tells me it's easy
When you do it right
Oh well, ell I know tonight she comes
(I know tonight she comes)
She tells me it's easy
When you do it right
(know tonight, I know tonight) I know tonight
(know tonight, I know tonight) I know tonight
(know tonight, I know tonight) she comes
(she comes)
I know tonight, oh yeah
(know tonight, I know tonight)
(I know tonight) well I know tonight
(know tonight, I know tonight)
Know tonight she comes
She's takin' a swipe at fun
She gives me a reason
For sighting my sights
Well I know tonight she comes
She jangles me up
She does it with ease
And sometimes she passes through me
Just like a breeze
She gives me a reason
For feelin' all right
Oh well
(know tonight, I know tonight)
I know tonight
(know tonight, I know tonight)
I know tonight
(know tonight, I know tonight)
She comes

And I know she's gonna do it to me
One more time (one more time)
I know she's gonna stay implanted
In my mind
Why does she keep me hanging on the line, oh
(why does she keep me hanging on the liiiiiiine)

Ah yeah, I know she's gonna do it to me
One more time (one more time)
I know she's gonna stay implanted
In my mind
Oh, why does she keep me hanging on the line, oh yeah
(why does she keep me hanging on the liiiiiiine)

I know the way she feels
And all of the hearts that she steals
She tells me it's easy
When you do it right
Oh well, ell I know tonight she comes
(I know tonight she comes)
She tells me it's easy
When you do it right
(know tonight, I know tonight) I know tonight
(know tonight, I know tonight) I know tonight
(know tonight, I know tonight) she comes
(she comes)
I know tonight, oh yeah
(know tonight, I know tonight)
(I know tonight) well I know tonight
(know tonight, I know tonight)
Tonight she comes",The Cars,The Cars,1985,"[9, 12, 16, 17, 25, 30, 38, 44, 59]",9
9,Election Day,"Wild kind of look to the day
Opening eyes impale neon flickers
She moon, she turning away
The city's her slave but he's cheating his mistress

She's moody and grey
She's mean and she's restless
So restless, so restless indeed

All over you as they say
Rumours or rivals yell at the strike force
Hi guys, by the way
Are you aware you're being illegal?

It's making your savior behaviour look evil
'Scuse my timing but say
How'd you fit in with this flim, flam and judy

Maximum big surprise
Your smile is something new

I pull my shirt off and pray
We're sacred and bound to suffer the heatwave
Pull my shirt off and pray
We're coming up on re-election day

Stretching my love down the way
To your invitation stretching my body
Use your intuitive play
'Cause maybe we have more play time than money

Maximum big surprise
She knows something new

I pull my shirt off and pray
I'm saving myself to suffer the heatwave
Pull my shirt off and pray
We're coming up on re-election day

By roads and backways a lover's chance down wind
Cut open murmurs and sounds be calm hands on skin
Carry further, entangled strands all sing
I'm saving some time to slip away
We could dance!

Shouldn't be asking, wild and scheming
Could be my election day

Maximum big surprise
You know something new

I pull my shirt off and pray
We're sacred and bound to suffer this heatwave
Pull my shirt off and pray
We're coming up on re-election day

Re-election day",Arcadia,Arcadia,1985,"[10, 6, 6, 7, 8, 13, 18, 29, 35, 46]",10
