,title,lyrics,artistsFromLyrics,artists,date,rank,cnt
0,Every Rose Has Its Thorn,"[Verse 1]
We both lie silently still in the dead of the night
Although we both lie close together we feel miles apart inside
Was it something I said or something I did?
Did my words not come out right?
Though I tried not to hurt you
Though I tried
But I guess that's why they say

[Chorus]
Every rose has its thorn
Just like every night has its dawn
Just like every cowboy sings a sad sad song
Every rose has its thorn

Yeah it does

[Verse 2]
I listen to our favorite song playing on the radio
Hear the DJ say love's a game of easy come and easy go
But I wonder does he know
Has he ever felt like this
And I know that you'd be here right now
If I could have let you know somehow
I guess

[Chorus]
Every rose has its thorn
Just like every night has its dawn
Just like every cowboy sings a sad sad song
Every rose has its thorn

[Bridge]
Though it's been a while now
I can still feel so much pain
Like a knife that cuts you the wound heals
But the scar, that scar remains

[Verse 3]
I know I could have saved a love that night
If I'd known what to say
Instead of makin' love
We both made our separate ways

[Verse 4]
And now I hear you found somebody new
And that I never meant that much to you
To hear that tears me up inside
And to see you cuts me like a knife
I guess

[Chorus]
Every rose has its thorn
Just like every night has its dawn
Just like every cowboy sings a sad sad song
Every rose has its thorn",Poison,Poison,1988,"[1, 1, 2, 6, 10, 16, 23, 32, 42, 60]",10
1,My Prerogative,"Get busy!

[Chorus]
Everybody's talking all this stuff about me (Now now)
Why don't they just let me live? (Ooh)
I don't need permission
Make my own decisions (OH!)
That's my prerogative

[Verse 1]
They say I'm crazy, I really don't care
That's my prerogative
They say I'm nasty, but I don't give a damn
Getting girls is how I live
Some ask me questions, ""Why am I so real?""
But they don't understand me or really don't know the deal
About a brother, trying hard to make it right
Not long ago, before I win this fight (sing)

[Chorus]
Everybody's talking all this stuff about me
Why don't they just let me live? (Tell me why)
I don't need permission
Make my own decisions (OH!)
That's my prerogative

[Refrain]
It's the way that I wanna live (It's my prerogative)
I can do just what I feel (It's my prerogative)
No one can tell me what to do (It's my prerogative)
'Cause what I'm doing
I'm doing for you, now

[Verse 2]
Don't get me wrong, I'm really not souped
Ego trips is not my thing
All these strange relationships really gets me down
I see nothing wrong with spreading myself around (sing)

[Chorus]
Everybody's talking all this stuff about me (Yeah)
Why don't they just let me live? (Tell me why)
I don't need permission (I don't need...)
Make my own decisions (...my own decisions)
That's my prerogative

[Refrain]
It's my prerogative (It's my prerogative)
I can do what I wanna do (It's my prerogative)
Can live my life (It's my prerogative)
I'm doing it just for you (It's my prerogative)

[Bridge]
Tell me, tell me, why can't I live my life (Live my life)
Without all of the things that people say

[Interlude]
Yo Teddy, kick it like this
Oh, no, no
I can do what I wanna do
Me and you
Together, together, together, together, together

[Chorus]
Everybody's talking all this stuff about me
(Everybody's talking)
Why don't they just let me live?
(Why don't they just let me live, girl?)
I don't need permission
Make my own decisions
(I don't need permission from nobody)
That's my prerogative

Everybody's talking all this stuff about me
(Everybody's talking)
Why don't they just let me live? (Now)
I don't need permission (I don't need...)
Make my own decisions (...my own decisions)
That's my prerogative

[Outro]
What is this, a blizzard, that I can't have money in my pocket
And people not talk about me?
This world is a trip; I don't know what's going on these days
Got this person over here talking about me, this person
Ay, listen, let me tell you something, it's my prerogative
I can do what I wanna do
I made this money, you didn't; right, Ted?
We outta here!

It's my, it's my, it's my, it's my
It's my, my, my, my, my, my, my, my, my, my, my, my, my
It's my...WOO!
It's my prerogative, it's my...
It's my, it's my, my, my
It's my prerogative, can't you see, baby doll?
Ha, why you wanna talk about me?
Tell me, tell me why...",Bobby Brown,Bobby Brown,1988,"[2, 2, 4, 8, 13, 18, 22, 33, 45, 61, 78]",11
2,Look Away,"[Verse 1]
When you called me up this morning
Told me about the new love you found
I said ""I'm happy for you
I'm really happy for you""
Found someone else
I guess I won't be coming around
I guess it's over, baby
It's really over, baby, whoa...
And from what you saying
I know you've gotten over me
It'll never be the way it used to be
So if it's got to be this way
Don't worry, baby, I can take the news okay

[Chorus]
But if you see me walking by
And the tears are in my eyes
Look away, baby, look away
If we meet on the streets someday
And I don't know what to say
Look away, baby, look away
Don't look at me
I don't want you to see me this way

[Verse 2]
When we both agreed as lovers
We were better off as friends
That's how it had to be
Yeah, that's how it had to be
I tell you I'm fine
But sometimes I just pretend
Wish you were holding me
Wish you were still holding me, whoa...
I just never thought
That I would be replaced so soon
I wasn't prepared to hear those words from you
I know I wanted to be free
Yeah, baby, this is how we wanted it to be

[Chorus]
But if you see me walking by
And the tears are in my eyes
Look away, baby, look away
If we meet on the streets someday
And I don't know what to say
Look away, baby, look away
Don't look at me
I don't want you to see me this way

[Guitar Solo]

[Chorus]
If you see me walking by
And the tears are in my eyes
Look away, baby, look away
If we meet on the streets someday
And I don't know what to say
Look away, baby, look away
Don't look at me
I don't want you to see me

If you see me walking by
And the tears are in my eyes
Look away, baby, look away
Don't look at me
I don't want you to see me

[Outro]
When you called me up this morning
Told me about the new love you found
I said ""I'm happy for you
I'm really happy for you""",Chicago,Chicago,1988,"[3, 3, 1, 1, 2, 6, 9, 12, 17, 23, 29, 35, 43, 56, 77]",15
3,Giving You The Best That I Got,"[Verse 1]
Ain't there something I can give you?
In exchange for everything you give to me
Read my mind
And make me feel just fine
When I think my peace of mind is out of reach

The scales are sometimes unbalanced
And you bear the weight of all that has to be
I hope you see that you can lean on me
And together
We can calm a stormy sea

[Hook]
We love so strong and so unselfishly
And I tell you now that I made a vow
I'm giving you the best that I got, baby
Yes, I tell you now
That I made a vow
I'm giving you the best that I got, honey

[Verse 2]
Everybody's got opinions
'Bout the way they think our story's gonna end
Some folks feel it's just a superficial thrill
Everybody's gonna have to think again

[Hook]
We love so strong and so unselfishly
They don't bother me so I'm gonna keep on
Giving you the best that I got, baby
They don't bother me
Said I'm gonna keep on
Giving you the best that I got

[Bridge]
Listen, baby
Somebody understands me
Somebody gave his heart to me
I stumbled my whole life long
Always on my own
Now I'm home

[Verse 3]
My weary mind is rested
And I feel as if my home is in your arms
Fears are all gone
I like the sound of your song
And I think I want to sing it forever

[Hook]
We love so strong and so unselfishly
And I made a vow so I tell you now
I'm giving you the best that I got

Listen, baby
I bet everything on my wedding ring
I'm giving you the best that I got
Giving it to you, baby

[Outro]
Giving you the best that I got",Anita Baker,Anita Baker,1988,"[4, 4, 3, 5, 6, 9, 13, 16, 22, 28, 36, 43, 51, 61, 85]",15
4,Waiting For A Star To Fall,"[Verse 1]
I hear your name whispered on the wind
It's a sound that makes me cry
I hear a song blow again and again
Through my mind and I don't know why
I wish I didn't feel so strong about you
Like happiness and love revolve around you

Trying to catch your heart
Is like trying to catch a star
So many people love you, baby
That must be what you are

[Pre-Chorus]
Waiting for a star to fall
And carry your heart into my arms
That's where you belong
In my arms
Baby, yeah

Waiting for a star to fall
And carry your heart into my arms
That's where you belong
In my arms
Baby, yeah

[Verse 2]
I've learn to feel what I cannot see
But with you, I lose that vision
I don't know how to dream your dream
So I'm all caught up in the superstition
I want to reach out and pull you to me
Who says I should let a wild one go free

[Pre-Chorus]
Trying to catch your heart
Is like trying to catch a star
But I can't love you this much, baby
And love you from this far

[Chorus]
Waiting for a star to fall
And carry your heart into my arms
That's where you belong
In my arms
Baby, yeah

Waiting for a star to fall
And carry your heart into my arms
That's where you belong
In my arms
Baby, yeah

[Bridge]
Waiting (however long)
I don't like waiting (I'll wait for you)
It's so hard waiting (Don't be too long)
Seems like waiting
Makes me love you even more

[Chorus]
Waiting for a star to fall
And carry your heart into my arms
That's where you belong
In my arms
Baby, yeah

Waiting for a star to fall
And carry your heart into my arms
That's where you belong
In my arms
Baby, yeah",Boy Meets Girl,Boy Meets Girl,1988,"[5, 5, 5, 7, 7, 12, 15, 17, 23, 29, 33, 39, 45, 49, 61, 75, 83]",17
5,Two Hearts,"[Verse 1]
Well, there was no reason to believe she'd always be there
But if you don't put faith in what you believe in
It's getting you nowhere
Cause it hurts, you never let go
Don't look down, just look up
Cause she's always there behind you, just to remind you

[Chorus]
Two hearts, believing in just one mind
You know we're two hearts believing in just one mind

[Verse 2]
Cause there's no easy way to, to understand it
There's so much of my life in her, and it's like i'm blinded
And it teaches you to never let go
There's so much love you'll never know
She can reach you no matter how far
Wherever you are

[Chorus]
Two hearts, believing in just one mind
Beating together till the end of time
You know we're two hearts believing in just one mind
Together forever till the end of time

[Bridge]
She knows (she knows)
There will always be a special place in my heart for her
She knows, she knows, she knows
Yeah, she knows (she knows)
No matter how far apart we are
She knows, i'm always right there beside her

[Chorus]
Two hearts, believing in just one mind
Beating together till the end of time
You know we're two hearts believing in just one mind
Together forever till the end of time [x3]",Phil Collins,Phil Collins,1988,"[6, 6, 12, 17, 24, 35, 47]",7
6,Welcome To The Jungle,"[Intro]
Oh my god...
Jump!

[Verse 1]
Welcome to the jungle, we got fun and games
We got everything you want, honey, we know the names
We are the people that can find whatever you may need
If you got the money, honey, we got your disease

[Chorus]
In the jungle, welcome to the jungle
Watch it bring you to your shun n-n-n-n-n-n-n-n knees, knees
Ohhh ah, I wanna watch you bleed

[Verse 2]
Welcome to the jungle, we take it day by day
If you want it you're going to bleed, but it's the price you pay
And you're a very sexy girl, very hard to please
You can taste the bright lights, but you won't get there for free

[Chorus]
In the jungle, welcome to the jungle
Feel my, my, my, my serpentine
Ohhh ah, I wanna hear you scream

[Verse 3]
Welcome to the jungle, it gets worse here everyday
You learn to live like an animal in the jungle where we play
If you got a hunger for what you see, you'll take it eventually
You can have anything you want, but you better not take it from me

[Chorus]
In the jungle, welcome to the jungle
Watch it bring you to your shun n-n-n-n-n-n-n-n knees, knees
Uh oh, I'm gonna watch you bleed

[Bridge]
And when you're high, you never
Ever want to come down
So down, so down, so down, yeah!

[Guitar Solo]

[Bridge]
You know where you are?
You're in the jungle, baby
You're gonna die

[Chorus]
In the jungle, welcome to the jungle
Watch it bring you to your shun n-n-n-n-n-n-n-n knees, knees
In the jungle, welcome to the jungle
Feel my, my, my, my serpentine
In the jungle, welcome to the jungle
Watch it bring you to your shun n-n-n-n-n-n-n-n knees, knees

[Outro]
In the jungle, welcome to the jungle
Watch it bring you to your, it's going to bring you down, huh",Guns N’ Roses,Guns N' Roses,1988,"[7, 7, 9, 9, 11, 14, 18, 24, 33, 44, 58]",11
7,In Your Room,"I love it in your room at night
You're the only one who gets through to me
In the warm glow of the candlelight
Oh, I wonder what you're gonna do to me
In your Room
I come alive when I'm with you
I'll do anything you want me to
In your room

I love it in your room all day
When you're gone I like to try on all your clothes
You won't regret it if you let me stay
I'll teach you everything that a boy should know
In your room
I'm alive when I'm with you
Gonna make your dreams come true
In your room

I feel good in your room
Let's lock the world out
Feels so good when we kiss
Nobody ever made me crazy like this

I'll do anything you want me to
I only want to be with you
In your room
In your room",The Bangles,The Bangles,1988,"[8, 8, 13, 14, 20, 26, 31, 36, 41, 47, 51, 73]",12
8,Walk On Water,"Well if I could walk on water
And if I could find some way to prove
If I could walk on water, would you believe in me?
My love is so true

(Na, na, na, na, na, na, na, na, na, etc.)

Well I'm no angel, now, I'll admit
I made a few bad moves I should regret
I hurt you once or so you said
Just one more chance is all you get

Didn't mean to do you wrong again
Worse things have been done by better men
Baby, baby, don't, don't treat me this way
I know, yes, I've got to pay now, I'm still paying

Well if I could walk on water
And if I could find some way to prove
If I could walk on water, would you believe in me?
My love is true

Na, na, na, na, na, na, na, na, oh

All along, I told you lies
To err is human, forgive is divine
Don't be a fool, don't settle the score
Cause I can't take it no more, I can't take it

Well if I could walk on water
And if I could find some way to prove
If I could walk on water, would you believe in me?
My love is true
Well, if I could walk on water (if I could)
Is that what I'm gonna have to do?
If I could walk on water, would be you believe in me?
My love is so true

(Na, na, na, na, na, na, na, na, na, etc.)
Do I have to walk, walk, walk on water for you

Hey baby, baby, there's a little time
Let's spend it together
We'll get over what we left behind
There's our future together
Yeah, well, let's stay together

I keep walking and walking and walking
For you, for you

Well if I could walk on water
And if I could find some way to prove
If I could walk on water, would you believe in me?
My love is true

My love is so true
Do I have to walk, oh, walk on water for you?
Baby, please

If I had to walk, girl
If I had to walk, walk, walk
Do I have to walk on water, walk on water for you?

Do I have to walk on water?
Do I have to find some way to prove?
Do I have to walk on water, walk on water for you?

Do I have to walk on water?
Do I have to find some way to prove?
Yeah, yeah, walk on water, walk on water for you...",Eddie Money,Eddie Money,1988,"[9, 9, 10, 10, 12, 15, 17, 21, 26, 32, 39, 45, 52, 67]",14
9,Don't Rush Me,"Red roses, temptation
You make the most of a ify situation
I'm weighing my decision
Who's to say if it's love,or if it isn't?
Only time will tell
Just how well I'll get to know you
Don't mean to lead you on
But I want to take it slowly, slowly

Don't rush me
I've made that mistake before, ah
Don't rush me
This love could be so much more
It's well worth the waiting for
Desire can mean danger
I wanna lover, not another stranger
I'm saving all my passion
Who's to say if its love, or just attraction?
Only time will tell
Just how well I'll get to know you
Don't mean to lead you on, But I want to take it slowly, slowly

And my resistance is weakening,weakening everytime we touch
Baby, you get everything, everything that I've been dreamin' of

Don't rush me
I've made that mistake before, oh yeah
Don't rush me. This love could be so much more
It's well worth the waiting for, yeah
My resistance is weakening
Every time we touch
Cause baby you've got everything
Everything That I've been dreaming of

(guitar solo)

Don't rush me. I've made that mistake before
Oh yeah. Don't rush me. This love could be so much more
It's well worth the waiting for
Don't rush me. I've made that mistake before
Oh yeah. Don't rush me. This love could be so much more
It's well worth the waiting for, yeah",Taylor Dayne,Taylor Dayne,1988,"[10, 10, 15, 21, 26, 33, 42, 56, 81]",9
