,title,lyrics,artistsFromLyrics,artists,date,rank,cnt
0,The Box,"[Chorus]
Pullin' out the coupe at the lot
Told 'em fuck 12, fuck SWAT
Bustin' all the bales out the box
I just hit a lick with the box
Had to put the stick in a box, mmh
Pour up the whole damn seal, I'ma get lazy
I got the mojo deals, we been trappin' like the '80s
She sucked a nigga soul, gotta Cash App
Told 'em wipe a nigga nose, say slatt, slatt
I won't never sell my soul, and I can back that
And I really wanna know where you at, at

[Verse 1]
I was out back where the stash at
Cruise the city in a bulletproof Cadillac (Skrrt)
'Cause I know these niggas after where the bag at (Yeah)
Gotta move smarter, gotta move harder
Nigga try to get me for my water
I'll lay his ass down, on my son, on my daughter
I had the Draco with me, Dwayne Carter
Lotta niggas out here playin' ain't ballin'
I done put my whole arm in the rim, Vince Carter (Yeah)
And I know probably get a key for the quarter
Shawty barely seen in double C's, I bought 'em
Got a bitch that's looking like Aaliyah, she a model
I got the pink slip, all my whips is key-less
Compton, I'm about to get the key to the city
Patek like the sea, forgive me

[Chorus]
Pullin' out the coupe at the lot
Told 'em fuck 12, fuck SWAT
Bustin' all the bales out the box
I just hit a lick with the box
Had to put the stick in a box, mmh
Pour up the whole damn seal, I'ma get lazy
I got the mojo deals, we been trappin' like the '80s
She sucked a nigga soul, gotta Cash App
Told 'em wipe a nigga nose, say slatt, slatt
I won't never sell my soul, and I can back that
And I really wanna know where you at, at, hah

[Verse 2]
Hahaha, I been movin' 'em out
If Steelo with me, then he got the blues in the pouch (Yeah)
Took her to the forest, put the wood in her mouth
Bitch don't wear no shoes in my house
The private I'm flyin' in, I never wan' fly again
I'll take my chances in traffic (Yeah)
She suckin' on dick, no hands with it
I just made the Rollie plain like a landing strip
I'm a 2020 president candidate
I done put a hundred bands on Zimmerman, shit
I been movin' real gangster, so that's why she picked a Crip
Shawty call me Crisco 'cause I pop my shit
Got it out the mud, there's nothin' you can tell me, yeah
When I had the drugs, I was street wealthy, yeah

[Chorus]
Pullin' out the coupe at the lot
Told 'em fuck 12, fuck SWAT
Bustin' all the bales out the box
I just hit a lick with the box
Had to put the stick in a box, mmh
Pour up the whole damn seal, I'ma get lazy
I got the mojo deals, we been trappin' like the '80s
She sucked a nigga soul, gotta Cash App
Told 'em wipe a nigga nose, say slatt, slatt
I won't never sell my soul, and I can back that
And I really wanna know where you at, at",Roddy Ricch,Roddy Ricch,2020,"[1, 1, 1, 1, 3, 13]",6
1,Life Is Good,"Drake - Usual

[Intro]
OZ on the beat, yeah

[Chorus]
Workin' on a weekend like usual
Way off in the deep end like usual
Niggas swear they passed us, they doin' too much
Haven't done my taxes, I'm too turnt up
Virgil got a Patek on my wrist goin' nuts
Niggas caught me slippin' once, okay, so what?
Someone hit your block up, I'd tell you if it was us
Manor house in Rosewood, this shit too plush
Say my days are numbered, but I keep wakin' up
Know you see my texts, baby, please say some
Wine by the glass, your man a cheapskate, huh?
Niggas gotta move off my release day, huh?

[Verse]
Bitch, this is fame, not clout
I don't even know what that's about, watch your mouth
Baby got a ego twice the size of the crib
I can never tell her shit, it is what it is (What)
Said what I had to and did what I did (Ayy)
Never turn my back on FBG, God forbid
Virgil got the Patek on my wrist doin' front flips
Givin' you my number, but don't hit me on no dumb shit

[Chorus]
Workin' on a weekend like usual
Way off in the deep end like usual
Niggas swear they passed us, they doin' too much
Haven't done my taxes, I'm too turnt up
Virgil got a Patek on my wrist goin' nuts
Niggas caught me slippin' once, okay, so what?
Someone hit your block up, I'd tell you if it was us
Manor house in Rosewood, this shit too plush
Say my days are numbered, but I keep wakin' up
Know you see my texts, baby, please say some
Wine by the glass, your man a cheapskate, huh?
Niggas gotta move off my release day, huh?

Future - WOO

[Intro]
It's cool, man, got red bottoms on
Life is good, you know what I mean? Like

[Chorus]
Yeah, hunnid thousand for the cheapest ring on a nigga finger, lil' bitch, woo
I done flew one out to Spain to be in my domain and Audemars-ed the bitch, woo
Dropped three dollars on a ring, cost a Bentley truck, lil' bitch, woo
I was in the trap servin' cocaine, I ain't been the same since, woo

[Verse 1]
They at the candlelight lightin' it up, nigga, anybody can get it, woo
I'm on a PJ lightin' it up, Backwood full of sticky, woo
I'm tryna tote that Draco in London and it's extended, woo
They gotta stretch a nigga out, we gon' die for this shit, woo
Yeah, I ride for my niggas, I lie to my bitch, woo
We some poor, high-class niggas, made it, we rich, yeah
I was at the bando, got a penthouse for a closet, woo
It's like a chandelier on my neck, my wrist, woo
I got pink toes that talk different languages, woo
Got Promethazine in my blood and Percocet, yeah

[Refrain]
Granny, she was standin' right there while I catch a play on a brick, woo
I make them lil' niggas go haywire, Taliban in this bitch, woo
I done been down bad in them trenches, had to ride with that stick, woo
Who gave you pills? Who gave you that dust? Pluto sent you on a lick, woo
Too many convicts that roll with me to play in this shit, woo
I'm tryna avoid nonsense, get Osama spray in this bitch, woo

[Chorus]
Hunnid thousand for the cheapest ring on a nigga finger, lil' bitch, woo
I done flew one out to Spain to be in my domain and Audemars-ed the bitch, woo
Dropped three dollars on a ring, cost a Bentley truck, lil' bitch, woo
I was in the trap servin' cocaine, I ain't been the same since, woo

[Verse 2]
Racks by the ton, I call up Serena
I go tremendo for new fettuccine
All fact though, carat the pinky
All fact though, we ordered the Fiji
I'm in the loop with the voo, I'm in the loop with the woo, which one you workin'?
I'll put your face on the news, I'll put the pussy on the shirt after I murk it
Then make 'em go shoot up the hearse, cost me a quarter bird, nigga, it's worth it
And you a maniac, a fuckin' alien, how you splurgin'?
Got that kitty cat, I'm havin' fun with that, goin' Birkin

[Refrain]
Granny, she was standin' right there while I catch a play on a brick, woo
I make them lil' niggas go haywire, Taliban in this bitch, woo
I done been down bad in them trenches, had to ride with that stick, woo
Who gave you pills? Who gave you that dust? Pluto sent you on a lick, woo
Too many convicts that roll with me to play in this shit, woo
I'm tryna avoid nonsense, get Osama spray in this bitch, woo

[Chorus]
Yeah, hunnid thousand for the cheapest ring on a nigga finger, lil' bitch, woo
I done flew one out to Spain to be in my domain and Audemars-ed the bitch, woo
Dropped three dollars on a ring, cost a Bentley truck, lil' bitch, woo
I was in the trap servin' cocaine, I ain't been the same since, woo

[Outro]
Hunnid thousand for the cheapest ring on a nigga finger, lil' bitch
Hunnid thousand for the cheapest ring on a nigga finger, lil' bitch, yeah
Hunnid thousand for the cheapest ring on a nigga finger, lil' bitch, uh
Hunnid thousand for the cheapest ring on a nigga finger, lil' bitch",​Lilflexy,Future Featuring Drake,2020,"[2, 2, 2]",3
2,Circles,"[Intro]
Oh, oh, oh
Oh,  oh, oh
Oh,  oh, oh, oh, oh

[Verse 1]
We couldn't turn around 'til we were upside down
I'll be the bad guy now, but know I ain't too proud
I  couldn't be there even when I tried
You  don't believe it, we do this every time

[Chorus]
Seasons change and our love went cold
Feed  the flame 'cause we can't let go
Run away, but we're running in circles
Run away, run away
I dare you to do something
I'm  waiting on you again, so I don't take the blame
Run away, but we're running in circles
Run away, run away, run away

[Verse 2]
Let go, I got a feeling that it's time to let go
I said so, I knew that this was doomed from the get-go
You thought that it was special, special
But it was just the sex though, the sex though
And I still hear the echoes (The echoes)
I got a feeling that it's time to let it go, let it go

[Chorus]
Seasons change and our love went cold
Feed the flame 'cause we can't let go
Run away, but we're running in circles
Run away, run away
I dare you to do something
I'm waiting on you again, so I don't take the blame
Run away, but we're running in circles
Run away, run away, run away

[Bridge]
Maybe you don't understand what I'm going through
It's only me, what you got to lose?
Make up your mind, tell me, what are you gonna do?
It's only me, let it go

[Chorus]
Seasons change and our love went cold
Feed the flame 'cause we can't let go
Run away, but we're running in circles
Run away, run away
I dare you to do something
I'm waiting on you again, so I don't take the blame
Run away, but we're running in circles
Run away, run away, run away",Post Malone,Post Malone,2020,"[3, 4, 48, 3, 3, 1, 5]",7
3,Memories,"[Download Here] Maroon 5 - Memories ( Cover By J.fla ) Mp3

[Download Here] Justin Bieber - Yummy Mp3

[Download Here] Selena Gomez - Rare Mp3

Here's to the ones that we got
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
Of everything we've been through
Toast to the ones here today
Toast to the ones that we lost on the way
'Cause the drinks bring back all the memories
And the memories bring back, memories bring back you
There's a time that I remember, when I did not know no pain
When I believed in forever, and everything would stay the same
Now my heart feel like December when somebody say your name
'Cause I can't reach out to call you, but I know I will one day, yeah
Everybody hurts sometimes
Everybody hurts someday, aye aye
But everything gon' be alright
Go and raise a glass and say, aye
Here's to the ones that we got
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
Of everything we've been through
Toast to the ones here today
Toast to the ones that we lost on the way
'Cause the drinks bring back all the memories
And the memories bring back, memories bring back you
Doo doo, doo doo, doo doo
Doo doo, doo doo, doo doo, doo doo
Doo doo, doo doo, doo doo doo
Memories bring back, memories bring back you
There's a time that I remember when I never felt so lost
When I felt all of the hatred was too powerful to stop (ooh, yeah)
Now my heart feel like an ember and it's lighting up the dark
I'll carry these torches for ya that you know I'll never drop, yeah
Everybody hurts sometimes
Everybody hurts someday, aye aye
But everything gon' be alright
Go and raise a glass and say, aye
Here's to the ones that we got (oh oh)
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
Of everything we've been through (no, no)
Toast to the ones here today (aye)
Toast to the ones that we lost on the way
'Cause the drinks bring back all the memories (aye)
And the memories bring back, memories bring back you
Doo doo, doo doo, doo doo
Doo doo, doo doo, doo doo, doo doo
Doo doo, doo doo, doo doo doo
Memories bring back, memories bring back you
Doo doo, doo doo doo doo
Doo doo, doo doo, doo doo, doo doo
Doo doo, doo doo, doo doo doo (ooh, yeah)
Memories bring back, memories bring back you
Yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, no, no
Memories bring back, memories bring back you",(2.12 MB) Download Lagu Maroon 5,Maroon 5,2020,"[4, 5, 4, 4, 2, 9]",6
4,Someone You Loved,"[Verse 1]
I'm going under, and this time, I fear there's no one to save me
This all or nothing really got a way of driving me crazy
I need somebody to heal, somebody to know
Somebody to have, somebody to hold
It's easy to say, but it's never the same
I guess I kinda liked the way you numbed all the pain

[Chorus]
Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved

[Verse 2]
I'm going under, and this time, I fear there's no one to turn to
This all or nothing way of loving got me sleeping without you
Now, I need somebody to know, somebody to heal
Somebody to have, just to know how it feels
It's easy to say, but it's never the same
I guess I kinda like the way you help me escape

[Chorus]
Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved

[Bridge]
And I tend to close my eyes when it hurts sometimes
I fall into your arms
I'll be safe in your sound till I come back around

[Chorus]
For now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
But now the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved",Lewis Capaldi,Lewis Capaldi,2020,"[5, 8, 6, 6, 4, 8]",6
5,"10,000 Hours","[Verse 1: Dan + Shay]
Do you love the rain, does it make you dance
When you're drunk with your friends at a party?
What's your favorite song, does it make you smile?
Do you think of me?

[Pre-Chorus: Dan + Shay]
When you close your eyes, tell me, what are you dreamin'?
Everything, I wanna know it all

[Chorus: Dan + Shay]
I'd spend ten thousand hours and ten thousand more
Oh, if that's what it takes to learn that sweet heart of yours
And I might never get there, but I'm gonna try
If it's ten thousand hours or the rest of my life
I'm gonna love you (Ooh, ooh-ooh, ooh, ooh)

[Verse 2: Justin Bieber]
Do you miss the road that you grew up on?
Did you get your middle name from your grandma?
When you think about your forever now, do you think of me?

[Pre-Chorus: Justin Bieber]
When you close your eyes, tell me, what are you dreamin'?
Everything, I wanna know it all

[Chorus: Justin Bieber]
I'd spend ten thousand hours and ten thousand more
Oh, if that's what it takes to learn that sweet heart of yours
And I might never get there, but I'm gonna try
If it's ten thousand hours or the rest of my life
I'm gonna love you (Ooh, ooh-ooh, ooh, ooh)
I'm gonna love you (Ooh, ooh-ooh, ooh, ooh)

[Bridge: Justin Bieber]
Ooh, want the good and the bad and everything in between
Ooh, gotta cure my curiosity
Ooh, yeah

[Chorus: Dan + Shay & Justin Bieber]
I'd spend ten thousand hours and ten thousand more
Oh, if that's what it takes to learn that sweet heart of yours (Sweet heart of yours)
And I might never get there, but I'm gonna try (Yeah)
If it's ten thousand hours or the rest of my life
I'm gonna love you (Ooh, ooh-ooh, ooh, ooh)
I'm gonna love you (Ooh, ooh-ooh, ooh, ooh)
Yeah
And I...
Do you love the rain, does it make you dance?
I'm gonna love you (I'm gonna love you)
I'm gonna love you",Dan + Shay & Justin Bieber,Dan + Shay & Justin Bieber,2020,"[6, 6, 7, 5, 9, 17]",6
6,Dance Monkey,"[Verse 1]
They say, ""Oh my God, I see the way you shine
Take your hands, my dear, and place them both in mine""
You know you stopped me dead while I was passing by
And now I beg to see you dance just one more time

[Pre-Chorus]
Ooh, I see you, see you, see you every time
And oh my, I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time

[Chorus]
So they say
Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before
They say
Move for me, move for me, move for me, ayy-ayy-ayy
And when you’re done, I'll make you do it all again

[Verse 2]
I said, ""Oh my God, I see you walking by
Take my hands, my dear, and look me in my eyes""
Just like a monkey, I've been dancin’ my whole life
But you just beg to see me dance just one more time

[Pre-Chorus]
Ooh, I see you, see you, see you every time
And oh my, I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time

[Chorus]
So they say
Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before
They say
Move for me, move for me, move for me, ayy-ayy-ayy
And when you're done, I'll make you do it all again
They say
Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh
I've never seen anybody do the things you do before
They say
Move for me, move for me, move for me, ayy-ayy-ayy
And when you're done, I'll make you do it all again

[Bridge]
Ooh, ooh, ooh, ooh, ooh
Oh-oh, oh-oh, oh
Ooh, ooh, ooh, ooh, ooh-ooh
Ooh, ah-ah, ah-ah

[Chorus]
They say
Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before
They say
Move for me, move for me, move for me, ayy-ayy-ayy
And when you’re done, I’ll make you do it all again
They say
Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh
I've never seen anybody do the things you do before
They say
Move for me, move for me, move for me, ayy-ayy-ayy
And when you’re done, I'll make you do it all again
All again",Tones and I,Tones And I,2020,"[7, 7, 8, 7, 7, 14]",6
7,Roxanne,"[Intro]
All for the 'Gram
Bitches love the 'Gram
Oh, wait, shit
Brr, brr (Ayy, yeah, yeah, yeah, ayy)
Brr, brr, brr, ayy
Skrrt skrrt
Ninety four don't need no brakes, yeah

[Chorus]
Roxanne, Roxanne
All she wanna do is party all night
God damn, Roxanne
Never gonna love me, but it's alright
She think I'm an asshole, she think I'm a player
She keep running back, though, only 'cause I pay up
Roxanne, Roxanne
All she wanna do is party all night

[Verse 1]
Met her at a party in the hills, yeah
She just wanna do it for the thrill, yeah
Shorty drive a poodle with no top (Top, top)
But if I throw this money, she gon' drop, ayy
She don't wait in lines if it's too long
She don't drive the whip unless the roof off
Only wanna call when the cash out
Only take the pic when her ass out

[Pre-Chorus]
She from Malibu, uh, Malibu
If you ain't got a foreign, then she laugh at you, uh
Malibu, uh, Malibu
Spending daddy's money with a attitude

[Chorus]
Roxanne (Roxanne), Roxanne (Roxanne)
All she wanna do is party all night
God damn (God damn), Roxanne (Roxanne)
Never gonna love me, but it's alright
She think I'm an asshole, she think I'm a player
She keep running back, though, only 'cause I pay up
Roxanne (Roxanne), Roxanne (Roxanne)
All she wanna do is party all night

[Interlude]
I just wanna have fun

[Verse 2]
In LA, yeah, got no brakes, yeah
Living fast, Ricky Bobby, shake and bake, yeah
See the chain? Yeah, issa lake, yeah
Swipe the Chase, ooh, now she wanna date, yeah
Straight to Nobu on the coast, ooh
Shorty only like cocaine and Whole Foods
Yeah, snappin' all up on the 'Gram, ass going crazy (Woo)
Now she wanna fuck me in the foreign, goin' 80

[Pre-Chorus]
Up in Malibu, uh, Malibu
If you ain't got a foreign, then she laugh at you, uh
Malibu, uh, Malibu
Spending daddy's money with a attitude

[Chorus]
Roxanne (Roxanne), Roxanne (Roxanne)
All she wanna do is party all night (All night, yeah)
God damn (God damn), Roxanne (Roxanne)
Never gonna love me, but it's alright (Alright, yeah)
She think I'm an asshole, she think I'm a player
She keep running back, though, only 'cause I pay up
Roxanne (Roxanne), Roxanne (Roxanne)
All she wanna do is party all night",Arizona Zervas,Arizona Zervas,2020,"[8, 9, 9, 9, 5, 6]",6
8,Don't Start Now,"[Intro]
If you don't wanna see me

[Verse 1]
Did a full 180, crazy
Thinking 'bout the way I was
Did the heartbreak change me? Maybe
But look at where I ended up
I'm all good already
So moved on, it's scary
I'm not where you left me at all, so

[Pre-Chorus]
If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me

[Chorus]
Don't show up, don't come out
Don't start caring about me now
Walk away, you know how
Don't start caring about me now

[Verse 2]
Aren't you the guy who tried to
Hurt me with the word ""goodbye""?
Though it took some time to survive you
I'm better on the other side
I'm all good already
So moved on, it's scary
I'm not where you left me at all, so

[Pre-Chorus]
If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me
(Don't, don't, don't)

[Chorus]
Don't show up, don't come out
Don't start caring about me now
Walk away, you know how
Don't start caring about me now ('Bout me now, 'bout me)

[Bridge]
Up, up
Don't come out, out, out
Don't show up, up, up
Don't start now (Oh)
Up, up
Don't come out, out
I'm not where you left me at all, so

[Pre-Chorus]
If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me

[Chorus]
Don't show up (Don't show up), don't come out (Don't come out)
Don't start caring about me now ('Bout me now)
Walk away (Walk away), you know how (You know how)
Don't start caring about me now (So)

[Outro]
Up, up
Don't come out, out, out
Don't show up, up, up
Walk away, walk away (So)
Up, up
Don't come out, out, out
Don't show up, up, up
Walk away, walk away, oh",Dua Lipa,Dua Lipa,2020,"[9, 15, 14, 14, 21, 52]",6
9,everything i wanted,"[Verse 1]
I had a dream
I got everything I wanted
Not what you'd think
And if I'm bein' honest
It might've been a nightmare
To anyone who might care
Thought I could fly (Fly)
So I stepped off the Golden, mm
Nobody cried (Cried, cried, cried, cried)
Nobody even noticed
I saw them standing right there
Kinda thought they might care (Might care, might care)

[Pre-Chorus]
I had a dream
I got everything I wanted
But when I wake up, I see
You with me

[Chorus]
And you say, ""As long as I'm here, no one can hurt you
Don't wanna lie here, but you can learn to
If I could change the way that you see yourself
You wouldn't wonder why you hear
'They don't deserve you'""

[Verse 2]
I tried to scream
But my head was underwater
They called me weak
Like I'm not just somebody's daughter
Coulda been a nightmare
But it felt like they were right there
And it feels like yesterday was a year ago
But I don't wanna let anybody know
'Cause everybody wants something from me now
And I don't wanna let 'em down

[Pre-Chorus]
I had a dream
I got everything I wanted
But when I wake up, I see
You with me

[Chorus]
And you say, ""As long as I'm here, no one can hurt you
Don't wanna lie here, but you can learn to
If I could change the way that you see yourself
You wouldn't wonder why you hear
'They don't deserve you'""

[Outro]
If I knew it all then, would I do it again?
Would I do it again?
If they knew what they said would go straight to my head
What would they say instead?
If I knew it all then, would I do it again?
Would I do it again?
If they knew what they said would go straight to my head
What would they say instead?",Billie Eilish,Billie Eilish,2020,"[10, 23, 22, 19, 23, 41]",6
