,title,lyrics,artistsFromLyrics,artists,date,rank,cnt
0,Empire State Of Mind,"Yeah, yeah, I'ma up at Brooklyn, now I'm down in Tribeca
Right next to De Niro, but I'll be hood forever
I'm the new Sinatra, and since I made it here
I can make it anywhere, yeah, they love me everywhere

I used to cop in Harlem, all of my Dominicanos
Right there up on Broadway, brought me back to that McDonald's
Took it to my stash spot, 560 State Street
Catch me in the Kitchen like a Simmons whipping pastry

Cruising down 8th Street, off-white Lexus
Driving so slow, but BK is from Texas
Me, I'm up at Bed-Stuy, home of that boy Biggie
Now I live on Billboards, and I brought my boys with me

Say what up to Ty Ty, still sipping mai tai
Sitting courtside, Knicks and Nets give me high fives
Nigga, I be spiked out, I can trip a referee
Tell by my attitude that I most definitely from

In New York, concrete jungle where dreams are made, oh
There's nothing you can't do, now you're in New York
These streets will make you feel brand new
Big lights will inspire you, let's hear it for New York
New York, New York
(I made you hot, nigga)

Catch me at the X with OG at a Yankee game
Shit, I made the Yankee hat more famous than a Yankee can
You should know I bleed blue, but I ain't a Crip though
But I got a gang of niggas walking with my clique, though

Welcome to the melting pot, corners where we selling rock
Afrika Bambaataa shit, home of the hip hop
Yellow Cab, Gypsy Cab, Dollar Cab, holla back
For foreigners that ain't fifty, act like they forgot how to act

Eight million stories out there, and they're naked
Cities is a pity, half of y'all won't make it
Me, I gotta plug, Special Ed ""I Got It Made""
If Jeezy paying LeBron, I'm paying Dwyane Wade

Three dice, Cee-lo, three-card Monte
Labor Day Parade, rest in peace, Bob Marley
Statue of Liberty, long live the World Trade
Long live the king, yo, I'm from the Empire State that's

In New York, concrete jungle where dreams are made, oh
There's nothing you can't do, now you're in New York
These streets will make you feel brand new
Big lights will inspire you, let's hear it for New York
New York, New York

Lights is blinding, girls need blinders
So they can step out of bounds quick
The sidelines is blind with casualties
Who sipping life casually, then gradually become worse

Don't bite the apple, Eve, caught up in the in crowd
Now you're in style, end of the winter gets cold
En vogue with your skin out, the city of sin is a pity on a whim
Good girls gone bad, the cities filled with them

Mommy took a bus trip, now she got her bust out
Everybody ride her just like a bus route
Hail Mary to the city, you're a virgin
And Jesus can't save you, life starts when the church ends

Came here for school, graduated to the high life
Ball players, rap stars addicted to the limelight
MDMA got you feeling like a champion
The city never sleeps, better slip you an Ambien

In New York, concrete jungle where dreams are made of
There's nothing you can't do, now you're in New York
These streets will make you feel brand new
Big lights will inspire you, let's hear it for New York
New York, New York

One hand in the air for the big city
Street lights, big dreams all looking pretty
No place in the world that can compare
Put your lighters in the air, everybody say yeah, yeah, yeah, yeah
(Come on, come on)

In New York, concrete jungle where dreams are made, oh
There's nothing you can't do, now you're in New York
These streets will make you feel brand new
Big lights will inspire you, let's hear it for New York
New York, New York",Summer Hit Superstars,Jay-Z + Alicia Keys,2009,"[1, 1, 1, 1, 1, 2, 3, 13, 12, 13, 10, 10, 5, 50]",14
1,TiK ToK,"Wake up in the morning feeling like P Diddy
(Hey, what up girl?)
Grab my glasses, I'm out the door, I'm gonna hit this city
(Let's go)
Before I leave, brush my teeth with a bottle of Jack
'Cause when I leave for the night, I ain't coming back

I'm talking pedicure on our toes, toes
Trying on all our clothes, clothes
Boys blowing up our phones, phones
Drop-topping, playing our favorite CDs
Pulling up to the parties
Trying to get a little bit tipsy

Don't stop, make it pop
DJ, blow my speakers up
Tonight, I'mma fight
'Til we see the sunlight
Tick tock on the clock
But the party don't stop, no

Don't stop, make it pop
DJ, blow my speakers up
Tonight, I'mma fight
'Til we see the sunlight
Tick tock, on the clock
But the party don't stop, no

Ain't got a care in world, but got plenty of beer
Ain't got no money in my pocket, but I'm already here
And now, the dudes are lining up cause they hear we got
Swagger
But we kick 'em to the curb unless they look like Mick
Jagger

I'm talking about everybody getting crunk, crunk
Boys tryin' to touch my junk, junk
Gonna smack him if he getting too drunk, drunk

Now, now, we go until they kick us out, out
Or the police shut us down, down
Police shut us down, down
Po-po shut us

Don't stop, make it pop
DJ, blow my speakers up
Tonight, I'mma fight
'Til we see the sunlight
Tick tock on the clock
But the party don't stop, no

Don't stop, make it pop
DJ, blow my speakers up
Tonight, I'mma fight
'Til we see the sunlight
Tick tock on the clock
But the party don't stop, no

DJ, you build me up
You break me down
My heart, it pounds
Yeah, you got me

With my hands up
You got me now
You got that sound
Yeah, you got me

DJ, you build me up
You break me down
My heart, it pounds
Yeah, you got me

With my hands up
Put your hands up
Put your hands up

Now, the party don't start 'til I walk in

Don't stop, make it pop
DJ, blow my speakers up
Tonight, I'mma fight
'Til we see the sunlight
Tick tock on the clock
But the party don't stop, no

Don't stop, make it pop
DJ, blow my speakers up
Tonight, I'mma fight
'Til we see the sunlight
Tick tock on the clock
But the party don't stop, no",The future hit makers,Ke$ha,2009,"[2, 3, 3, 5, 10, 14, 16, 22, 55, 79]",10
2,Bad Romance,"[Intro]
Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh
Caught in a bad romance
Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh
Caught in a bad romance
Ra-ra-ah-ah-ah
Roma Roma-ma
Gaga, ""Oh la-la""
Want your bad romance
Ra-ra-ah-ah-ah
Roma, Roma-ma
Gaga, ""Oh la-la""
Want your bad romance

[Verse 1]
I want your ugly, I want your disease
I want your everything as long as it’s free
I want your love
Love, love, love, I want your love, hey!
I want your drama, the touch of your hand, (Hey!)
I want your leather-studded kiss in the sand
I want your love
Love, love, love, I want your love
(Love, love, love, I want your love)

[Pre-Chorus]
You know that I want you
And you know that I need you
I want it bad
Your bad romance

[Chorus]
I want your love, and I want your revenge
You and me could write a bad romance
Oh-oh-oh-oh-oh
I want your love, and all your lover's revenge
You and me could write a bad romance
Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh
Caught in a bad romance
Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh
Caught in a bad romance

[Post-Chorus]
Ra-ra-ah-ah-ah
Roma-roma-ma
Gaga, ""Oh la-la""
Want your bad romance

[Verse 2]
I want your horror, I want your design
‘Cause you’re a criminal as long as you’re mine
I want your love
Love, love, love, I want your love, huh
I want your psycho, your vertigo shtick (Hey, hey!)
Want you in my rear window, baby, you're sick
I want your love
Love, love, love, I want your love
(Love, love, love, I want your love)

[Pre-Chorus]
You know that I want you
And you know that I need you ('cause I'm a free bitch, baby)
I want it bad
Your bad romance

[Chorus]
I want your love, and I want your revenge
You and me could write a bad romance
Oh-oh-oh-oh-oh
I want your love, and all your lover's revenge
You and me could write a bad romance
Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh
Caught in a bad romance
Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh
Caught in a bad romance

[Post-Chorus]
Ra-ra-ah-ah-ah
Roma-roma-ma
Gaga, ""Oh la-la""
Want your bad romance
Ra-ra-ah-ah-ah
Roma-roma-ma
Gaga, ""Oh la-la""
Want your bad romance

[Bridge 1]
Walk, walk, fashion, baby
Work it, move that bitch crazy
Walk, walk, fashion, baby
Work it, move that bitch crazy
Walk, walk, fashion, baby
Work it, move that bitch crazy
Walk, walk, passion, baby
Work it, I'm a free bitch, baby

[Bridge 2]
I want your love, and I want your revenge
I want your love, I don't wanna be friends
Je veux ton amour et je veux ta revanche
Je veux ton amour, I don't wanna be friends
(Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh)
No, I don't wanna be friends
(Want your bad romance)
I don't wanna be friends
Want your bad romance
Want your bad romance

[Chorus]
I want your love, and I want your revenge
You and me could write a bad romance
Oh-oh-oh-oh-oh
I want your love, and all your lover's revenge
You and me could write a bad romance
Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh
(Want your bad romance)
Caught in a bad romance
(Want your bad romance)
Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh
(Want your bad romance)
Caught in a bad romance

[Outro]
Ra-ra-ah-ah-ah
Roma, Roma-ma
Gaga, ""Oh la-la""
Want your bad romance",Lady Gaga,Lady Gaga,2009,"[3, 2, 2, 2, 11, 18, 9]",7
3,Replay,"Shawty's like a melody in my head
That I can't keep out
Got me singin' like
Na na na na everyday
It's like my iPod stuck on replay, replay-ay-ay-ay (2x)

Remember the first time we met
You was at the mall wit yo friend
I was scared to approach ya
But then you came closer
Hopin' you would give me a chance

Who would have ever knew
That we would ever be more than friends
We're real worldwide, breakin all the rules
She like a song played again and again

That girl, like somethin off a poster
That girl, is a dime they say
That girl, is a gun to my holster
She's runnin through my mind all day, ay

Shawty's like a melody in my head
That I can't keep out
Got me singin' like
Na na na na everyday
It's like my iPod stuck on replay, replay-ay-ay-ay (2x)

See you been all around the globe
Not once did you leave my mind
We talk on the phone, from night til the morn
Girl you really change my life
Doin things I never do
I'm in the kitchin cookin things she likes

We're real worldwide, breakin all the rules
Someday I wanna make you my wife
That girl, like somethin off a poster
That girl, is a dime they say
That girl, is the gun to my holster
She's runnin through my mind all day, ay

Shawty's like a melody in my head
That I can't keep out
Got me singin' like
Na na na na everyday
It's like my ipod stuck on replay, replay-ay-ay-ay (2x)

I can be your melody
Or girl I could write you a symphony
The one that could fill your fantasies
So come baby girl let's sing with me
Ay, I can be your melody
Or girl I could write you a symphony
The one that could fill your fantasies
So come baby girl let's sing with me

Ay, na na na na na na na
Na na na na na na
Shawty got me singin
Na na na na na na na
Na na na na na na na
Now she got me singin

Shawty's like a melody in my head
That I can't keep out
Got me singin' like
Na na na na everyday
It's like my iPod stuck on replay, replay-ay-ay-ay (2x)",The pop heroes,Iyaz,2009,"[4, 4, 5, 6, 4, 4, 12, 12, 14, 14, 24, 51, 68, 66, 77, 80, 96]",17
4,Fireflies,"[Verse 1]
You would not believe your eyes
If ten million fireflies
Lit up the world as I fell asleep
'Cause they'd fill the open air
And leave teardrops everywhere
You'd think me rude but I would just stand and stare

[Chorus]
I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay awake when I'm asleep
'Cause everything is never as it seems

[Verse 2]
'Cause I'd get a thousand hugs
From ten thousand lightning bugs
As they tried to teach me how to dance
A foxtrot above my head
A sock hop beneath my bed
The disco ball is just hanging by a thread

[Chorus]
I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay awake when I'm asleep
'Cause everything is never as it seems (When I fall asleep)

[Bridge]
Leave my door open just a crack
(Please take me away from here)
'Cause I feel like such an insomniac
(Please take me away from here)
Why do I tire of counting sheep?
(Please take me away from here)
When I'm far too tired to fall asleep (Haha)

[Verse 3]
To ten million fireflies
I'm weird 'cause I hate goodbyes
I got misty eyes as they said farewell (Said farewell)
But I'll know where several are
If my dreams get real bizarre
'Cause I saved a few and I keep them in a jar (Jar, jar, jar)

[Chorus (Extended)]
I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay awake when I'm asleep
'Cause everything is never as it seems (When I fall asleep)
I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay awake when I'm asleep
'Cause everything is never as it seems (When I fall asleep)
I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay awake when I'm asleep
Because my dreams are bursting at the seams",Owl City,Owl City,2009,"[5, 5, 4, 3, 2, 1, 2, 1, 7, 9, 11, 24, 46, 58, 82, 94, 97]",17
5,Sexy Chick,"[Verse: Akon]
Yes, I can see her
'Cause every girl here wanna be her
Oh, she's a diva
I feel the same and I wanna meet her
They say she low down
It's just a rumor and I don't believe 'em
They say she needs to slow down
The baddest thing around town

[Pre-Chorus: Akon (with David Guetta)]
She's nothing like a girl you've ever seen befo'
Nothing you can compare to your neighborhood, hood
I'm tryna find the words to describe this girl without being disrespectful
The way that booty movin', I can't take no more
Had to stop what I'm doin' so I can pull up close
I'm tryna find the words to describe this girl without being disrespectful
(Damn, girl)

[Chorus: David Guetta]
Damn, you's a sexy chick, a sexy chick
Damn, you's a sexy chick; damn, girl
Damn, you's a sexy chick, a sexy chick
Damn, you's a sexy chick; damn, girl

[Verse: Akon]
Yes, I can see her
'Cause every girl here wanna be her
Oh, she's a diva
I feel the same and I wanna meet her
They say she low down
It's just a rumor and I don't believe 'em
They say she needs to slow down
The baddest thing around town

[Pre-Chorus: Akon (with David Guetta)]
She's nothing like a girl you've ever seen befo'
Nothing you can compare to your neighborhood, hood
I'm tryna find the words to describe this girl without being disrespectful
The way that booty movin', I can't take no more
Had to stop what I'm doin' so I can pull up close
I'm tryna find the words to describe this girl without being disrespectful
(Damn, girl)

[Chorus: David Guetta]
Damn, you's a sexy chick, a sexy chick
Damn, you's a sexy chick; damn, girl
Damn, you's a sexy chick, a sexy chick
Damn, you's a sexy chick; damn, girl
Damn, you's a sexy chick, a sexy chick
Damn, you's a sexy chick; damn, girl
Damn, you's a sexy chick, a sexy chick
Damn, you's a sexy chick
Damn, you's a sexy chick",David Guetta,David Guetta Featuring Akon,2009,"[6, 7, 8, 7, 12, 12, 18, 16, 21, 25, 34, 45, 55, 60, 71, 79, 92, 93, 56]",19
6,Whatcha Say,"[Intro]
Wha-wha-wha-wha-what did you say?
(J-J-J-J-J.R.)
Mmmm, whatcha say
Mmm, that you only meant well?
Well of course you did
Mmmm, whatcha say
(Jason Derulo)
Mmmm, that it's all for the best?
Of course, it is

[Verse 1]
I (I) was so wrong (wrong) for so long (long)
Only tryna please myself (myself)
Girl, I (I) was caught up (up) in her lust (lust)
When I don't really want no one else, so no
I know I should have treated you better (better)
But me and you were meant to last forever (forever)
So let me in (let me in), give me another chance (another chance)
To really be your man

[Pre-Chorus]
'Cause when the roof caved in and the truth came out
I just didn't know what to do
But when I become a star we'll be living so large, I'll do anything for you
So tell me, girl

[Chorus]
Mmmm, whatcha say
Mmmm, that you only meant well?
Well of course you did
Mmmm, whatcha say (whatcha say, whatcha say)
Mmmm, that it's all for the best?
Of course it is
Mmmm, whatcha say
Mmmm, that you only meant well?
Well of course you did
Mmmm, whatcha say (whatcha say, whatcha say)
Wha-wha-wha-wha-what did you say?

[Verse 2]
How (how) could I live (live) with myself (self)
Knowing that I let our love go? (Love go)
And ooh (ooh), what I'd do (do) with one chance (chance)
I just gotta let you know
I know what I did wasn't clever
But me and you we're meant to be together
So let me in (let me in), give me another chance (another chance)
To really be your man

[Pre-Chorus]
'Cause when the roof caved in and the truth came out
I just didn't know what to do
But when I become a star we'll be living so large, I'll do anything for you
So tell me, girl

[Chorus]
Mmmm, whatcha say
Mmmm, that you only meant well?
Well of course you did
Mmmm, whatcha say (whatcha say, whatcha say)
Mmmm, that it's all for the best?
Of course it is
Mmmm, whatcha say
Mmmm, that you only meant well?
Well of course you did
Mmmm, whatcha say (whatcha say, whatcha say)
Wha-wha-wha-wha-what did you say?

[Bridge]
Girl, tell me what to say, I (say, I)
I don't want you to leave me, though you caught me cheating
Tell me, tell me what to say, I (say, I)
I really need you in my life 'cause things ain't right, girl
Girl, tell me what to say, I (say, I)
I don't want you to leave me, though you caught me cheating
Tell me, tell me what to say, I (say, I)
I really need you in my life 'cause things ain't right

[Pre-Chorus]
'Cause when the roof caved in and the truth came out
I just didn't know what to do (I just didn't know what to do)
But when I become a star we'll be living so large, I'll do anything for you
So baby, whatcha say

[Chorus]
Mmmm, whatcha say
Mmmm, that you only meant well? (Well of course I did, baby)
Well of course you did
Mmmm, whatcha say (whatcha say, whatcha say)
Mmmm, that it's all for the best?
Of course it is (well, of course it is)
Mmmm, whatcha say (what did you say?)
Mmmm, that you only meant well?
Well of course you did (woah-oh-oh-oh)
Mmmm, whatcha say (whatcha say, whatcha say)
Wha-wha-wha-wha-what did you say?

[Outro]
(Beluga Heights)",Jason Derulo,Jason Derulo,2009,"[7, 6, 6, 4, 3, 3, 1, 2, 2, 4, 4, 5, 10, 7, 9, 13, 24, 54]",18
7,Meet Me Halfway,"[Intro: Fergie]
Ooh, I can't go any further than this
Ooh, I want you so badly, it's my biggest wish

[Verse 1: apl.de.ap]
Cool, I spend my time just thinking
Thinking, thinking 'bout you
Every single day, yes, I'm really missing, missing you
And all those things we used to
Used to, used to, used to do
Hey girl, what's up, it used, to used to be just me and you
I spend my time just thinking, thinking, thinking 'bout you
Every single day, yes, I'm really missing, missing you
And all those things we used to
Used to, used to, used to do
Hey girl, what's up yo, what's up, what's up

[Chorus: Fergie]
Can you meet me halfway? Right at the borderline
That's where I'm gonna wait for you
I'll be looking out, night and day
Took my heart to the limit, and this is where I'll stay
I can't go any further than this
I want you so bad, it's my only wish

[Verse 2: will.i.am]
Girl, I travel 'round the world and even sail the seven seas
Across the universe and go to other galaxies
Just tell me where to go, just tell me where you wanna meet
I navigate myself, myself to take me where you be
Cause girl I want, I, I, I want you right now
I travel uptown, town I travel downtown
Wanna have you around, 'round like every single day
I love you always, ways I'll meet you halfway

[Chorus: Fergie]
Can you meet me halfway? Right at the borderline
That's where I'm gonna wait for you
I'll be looking out, night and day
Took my heart to the limit, and this is where I'll stay
I can't go any further than this
I want you so bad, it's my only wish
I can't go any further than this
I want you so bad, it's my only wish

[Bridge: Taboo]
Let's cross the bridge to the other side
Just you and I (Just you and I)
I will fly, fly the skies
For you and I (For you and I)
I will try until I die
For you and I (For you and I)
For, for, for you and I
For, for, for, for you and I
For, for you and I (For you and I)

[Breakdown: Fergie]
Can you meet me halfway?
Can you meet me halfway?
Can you meet me halfway?
Can you meet me halfway?

[Chorus: Fergie]
Meet me halfway
Right at the borderline
That's where I'm gonna wait for you
I'll be looking out, night and day
Took my heart to the limit, and this is where I'll stay
I can't go any further than this
I want you so bad, it's my only wish
I can't go any further than this
I want you so bad, it's my only wish",The Black Eyed Peas,The Black Eyed Peas,2009,"[8, 8, 7, 12, 15, 15, 13, 7, 9, 17, 32, 47, 75]",13
8,3,"[Intro]
1, 2, 3
Not only you and me
Got one eighty degrees, and I'm caught in between
Counting, 1, 2, 3
Peter, Paul and Mary
Getting down with 3P
Everybody loves... ooh
Counting
1, 2, 1, 1, 1, 2, 3
Counting
1, 2
Counting
1, 2, 3

[Verse 1]
Babe, pick a night to come out and play
If it's alright
What do you say?
Merrier the more
Triple fun that way
Twister on the floor
What do you say?

[Pre-Chorus]
Are you in?
Living in sin is the new thing
Yeah, are you in?
I am counting

[Chorus]
1, 2, 3
Not only you and me
Got one eighty degrees, and I'm caught in between
Counting, 1, 2, 3
Peter, Paul and Mary
Getting down with 3P
Everybody loves... ooh
Counting, 1, 2, 3
Not only you and me
Got one eighty degrees, and I'm caught in between
Counting, 1, 2, 3
Peter, Paul and Mary
Getting down with 3P
Everybody loves... ooh

[Verse 2]
Three is a charm
Two is not the same
I don't see the harm
So are you game?
Let's make a team
Make them say my name
Loving the extreme
Now are you game?

[Pre-Chorus]
Are you in?
Living in sin is the new thing
Yeah, are you in?
I am counting

[Chorus]
1, 2, 3
Not only you and me
Got one eighty degrees, and I'm caught in between
Counting, 1, 2, 3
Peter, Paul and Mary
Getting down with 3P
Everybody loves... ooh
Counting, 1, 2, 3
Not only you and me
Got one eighty degrees, and I'm caught in between
Counting, 1, 2, 3
Peter, Paul and Mary
Getting down with 3P
Everybody loves... ooh

[Bridge]
What we do is innocent
Just for fun and nothing meant
If you don't like the company
Let's just do it, you and me
You and me, or three
Or four, on the floor

[Chorus]
1, 2, 3
Not only you and me
Got one eighty degrees, and I'm caught in between
Counting, 1, 2, 3
Peter, Paul and Mary
Getting down with 3P
Everybody loves... ooh
Counting, 1, 2, 3
Not only you and me
Got one eighty degrees, and I'm caught in between
Counting, 1, 2, 3
Peter, Paul and Mary
Getting down with 3P
Everybody loves... ooh",Britney Spears,Britney Spears,2009,"[9, 9, 10, 9, 6, 8, 8, 8, 5, 1]",10
9,Down,"[Intro]
Hello, everybody. I'm finally putting my YouTube videos up all in one place. People have been telling me I needed to do that for a long time so that's what I'm gonna do and I'm gonna do a little intro on all of them. You see, I'd been kicking around the idea of doing reviews, I'd seen, The Nostalgia Critic and Angry Video Game Nerd, I'd seen them do it for a long time and a huge fan. And I'd never found a good reason or, the motivation to actually try it and then I had the idea to do the pop song reviews. And I'd been writing, reviews of songs in my blog – which is long gone by now, you can't find it – but I'd been doing reviews on my blog for a long time. And, I was scared of showing my face, then I had this great idea of this image of this silhouette guy sitting at his piano – he can play piano and I just loved the image of it so I couldn't stop myself from doing it. I was just so excited by it and this is the first episode, the humble, very humble beginning of Todd In The Shadows. This was so much harder than I thought it was gonna be and I'm not sure why I picked such an innocuous song to start off with – who's really bothered by ""Down"" by Jay Sean? And I started on it, I figured it would be easy, and I found out I couldn't figure out how to do anything: I didn't know how to act, I didn't know how to write, I didn't know how to edit, I didn't know how to film, I didn't know how to frame – I still [laughs] don't know how much I've really learned about this since I've started but, eh, you had to start somewhere. I started with this for some reason. It's rough but it was a start, so – ""Down"" by Jay Sean, enjoy.
[Review]
                                            ""Down"" by Jay Sean                                                   ft/Lil Wayne                                             A pop song review[Todd playing ""Down"" on the piano]

Hello, friends! If you'll just give me a moment, I'd like to indulge in one of my favorite past-times: over-analyzing cheap pop songs. So, there's one song I wanna look at in particular – you may have heard it – it's Jay Sean's ""Down.""

[Clip: ""Down"" by Jay Sean featuring Lil Wayne]

Now, maybe you don't pay attention to the pop charts but I do and this song is everywhere – I mean, it's on the pop stations, it's on the country stations, it's on the gospel stations, the Rush Limbaugh stations, and it's an impressive feat for a song that's only a word long.
Down, down, down, down, down
Down, down
Even if the sky is falling downSee? He even rhymes ""down"" with ""down!"" Although I can't be too surprised it's a hit song right now – I mean, it sounds like everything else on the radio, I mean everything else.
You down, down, down, down?[Clip: ""Low"" by Flo Rida featuring T-Pain]
Low, low, low, low[Clip: ""Right Now (Na Na Na)"" by Akon]
Right now, na, na[Clip: ""With You"" by Chris Brown]
With you, with you, with you, with youI've never heard a song that sounds this much like everything. I mean, it even has the now-required cameo from Lil Wayne, who always sounds like he's going through puberty.
Down like she supposed to be
She gets down low for me
Down like her temperature
'Cause, to me, she's zero degreesUh... did Lil Wayne just lose control of his metaphor there? I always thought if you say a girl's zero degrees frozen, that means she wasn't into you. I don't know. Also, why is he dressed like the guy from The White Stripes?
Cold, over freeze
I got that girl from overseas
Now she's my Miss America
Now can I be her soldier please?
Did he just say ""She's my Miss America"" and then salute a British flag?

[Todd shrugs]
Honestly, I'm down like the economyHa! That's clever... ""down like the economy."" I don't have a job. Thanks for the reminder, Lil Wayne.

Here's an interesting fact: Jay Sean is the first major pop singer of Sikh descent.
Yeah, that's right. Just goes to show you that the pop charts are an all-inclusive place, open to all creeds and all colors and all cultures as long as they sound like everything else.

I'm kinda amused that the guy's named Jay Sean. He just had to have a name as generic as his song. I mean, it's Jay Sean! You know Jay Sean, I know Jay Sean, everyone knows Jay Sean! Jay Sean's a star, we live in a Jay Sean era of music. Jay Sean, Jay... we've already got a bunch of Jays.





And we've already got a bunch of Seans.





We certainly don't need a Jay Sean. Hey, wait a minute, is this the same guy that did ""Tipsy"" a few years back?

[Clip: ""Tipsy"" by J-Kwon]

You know, ""Tipsy"" in ""Everybody in the club gettin' tipsy!""
(Everybody in the club gettin' tipsy)
Everybody in the club gettin' tipsy[Todd sighs] No, I am informed that this is, in fact, J-Kwon. J-Kwon, not Jay Sean. [Todd sighs]

I mean, I don't even hate this song. I kinda like this song a little. It's just something you don't think about – it just goes through you. You don't wake up in the morning wanting to hear ""Down"" by Jay Sean. It's not something you can connect to. I mean, ""Are you down?"" is not really a very romantic sentiment. ""Do you agree, agree, agree, agree, agree, agree? Are you comfortable with the terms of this proposal?"" I mean, if you're going to be repeating one word over and over again, why is it ""down?"" Why isn't it something like ""love"" or ""yours"" or ""forever"" or... uh, forever. Hey, hold on, lemme check something here.

[Todd plays the piano and sings]

Down, down
Baby, are you down, down, down, down?
It's like I've waited my whole life for this one night
It's gon' be me, you—

Oh, my God! It's ""Forever"" by Chris Brown!

[Clip: ""Forever"" by Chris Brown]

""Down"" by Jay Sean is the same as ""Forever"" by Chris Brown! I mean, the melodies are a little different but, mostly, it's the same song!
You won't be lonelyDouble your pleasureI mean, they got the same tempo, they got the same chord structure, they're both about whisking away on a magic, flying carpet to the eternal dance floor of love. There's not a major difference! This is great! This is just great because ""Forever"" was Chris Brown's only good song, and now we don't even have to listen to that anymore 'cause we've got Jay Sean's ""Down"" to replace it so we can just delete this guy from the cultural memory banks forever. Awesome. See, Jay Sean, you do have a purpose: you're the new and improved Chris Brown.

[On-screen text]
NOW WITH 31% LESS DOMESTIC ABUSE!

That's great, I'm glad you're around.

[Todd plays the piano and sings]

Down, down, down, down, down
Down, down, down, down, down, down, down, down, down...
                                                        THE END                            ""Down"" is owned by Cash Money Records                                  This video is owned by me, I guess",Todd In The Shadows,Jay Sean Featuring Lil Wayne,2009,"[10, 10, 9, 10, 7, 5, 4, 3, 1, 2, 1, 2, 3, 2, 2, 2, 3, 7, 6, 6, 32, 63, 78, 72]",24
