,title,lyrics,artists,date,rank,cnt
0,Irreplaceable,"[Intro]
To the left, to the left
To the left, to the left (Mmm)

[Verse 1]
To the left, to the left
Everything you own in the box to the left
In the closet, that's my stuff
Yes, if I bought it, please don't touch (Don't touch)
And keep talking that mess that's fine
But could you walk and talk at the same time
And, it's my name that's on that jag
So remove your bags, let me call you a cab

[Pre-Chorus]
Standing in the front yard
Tellin' me, how I'm such a fool
Talkin' 'bout, how I'll never ever find a man like you
You got me twisted

[Chorus]
You must not know about me, you must not know about me
I could have another you in a minute
Matter of fact, he'll be here in a minute, baby
You must not know about me, you must not know about me
I can have another you by tomorrow
So don't you ever for a second get to thinking
You're irreplaceable

[Verse 2]
So go ahead and get gone
Call up that chick and see if she's home
Oops, I bet you thought, that I didn't know
What did you think I was putting you out for?
'Cause you was untrue
Rollin' her around in the car that I bought you
Baby, drop them keys
Hurry up before your taxi leaves

[Pre-Chorus]
Standing in the front yard
Tellin' me, how I'm such a fool
Talkin' 'bout, how I'll never ever find a man like you
You got me twisted

[Chorus]
You must not know about me, you must not know about me
I could have another you in a minute
Matter of fact, he'll be here in a minute, baby
You must not know about me, you must not know about me
I will have another you by tomorrow
So don't you ever for a second get to thinking
You're irreplaceable (Irreplaceable)

[Bridge]
So since I'm not your everything (Irreplaceable)
How about I'll be nothing (Nothing)
Nothing at all to you (Nothing)
Baby, I won't shed a tear for you (I won't shed a tear)
I won't lose a wink of sleep
'Cause the truth of the matter is
Replacing you was so easy

[Interlude]
To the left, to the left
To the left, to the left (Mmm)
To the left, to the left
Everything you own in the box to the left
To the left, to the left
Don't you ever for a second get to thinking
You're irreplaceable

[Chorus]
You must not know about me, you must not know about me
I could have another you in a minute
Matter of fact, he'll be here in a minute, baby
You must not know about me, you must not know about me
I can have another you by tomorrow
So don't you ever for a second get to thinking (Baby)
You must not know about me, you must not know about me
I could have another you in a minute
Matter of fact, he'll be here in a minute
You can pack all your bags (You must not know about me)
We're finished (You must not know about me)
'Cause you made your bed
Now lay in it
I can have another you by tomorrow
Don't you ever for a second get to thinking
You're irreplaceable",Beyoncé,2006,"[1, 1, 1, 2, 3, 4, 9, 24, 87]",9
1,I Wanna Love You,"[Intro: Akon]
Konvict
Konvict, Music, and you know we Upfront

[Hook: Akon]
I see you windin’ and grindin’ up on the floor
I know you see me lookin' at you and you already know
I wanna love you... you already know
I wanna love you... you already know, girl

[Snoop Dogg]
Money in the air as mo’ fell
Grab you by your coattail, take you to the motel
Ho sale; don’t tell, won't tell
Baby say “I don’t talk, Dogg unless you told on me” - oh well
Take a picture wit me, what the flick gon’ do
Baby stick to me and I’ma stick on you
If you pick me then I’ma pick on you
D-O double G and I’m here to put this dick on you
I'm stuck on pussy and your’s is right
Rip ridin’ the poles and them doors is tight
And I’ma get me a shot ‘fo the end of the night
Cause pussy is pussy and baby you’re pussy for life

[Hook]
I see you windin’ and grindin’ up on the floor
I know you see me lookin' at you and you already know
I wanna love you... you already know
I wanna love you... you already know, girl

[Akon]
Shorty, I can see you ain’t lonely
Handful of niggease and they all got cheese
See you lookin’ at me now what its gon’ be
Just another tease far as I can see
Tryna get you up out this club
If it means spendin' a couple dubs
Throwin’ bout 30 stacks in the back make it rain like that
'Cause I'm far from a scrub
And you know my pedigree
Ex-deala use to move amphetamines
Girl I spend money like it don’t mean nothing and besides I got a thing for you

[Hook]
I see you windin’ and grindin’ up on the floor
I know you see me lookin' at you and you already know
I wanna love you... you already know
I wanna love you... you already know, girl

[Snoop Dogg]
Mobbin' through the club and I’m low pressin’
I’m sittin’ in the back in the smoker’s section (just smokin’)
Birds eye, I got a clear view
You can’t see me, but I can see you (baby I see you)
Hmm, it’s cool, we jet, the mood is set, your pussy is wet
You’re rubbin’ your back and touchin’ your neck
Your body is movin', you humpin' and jumpin'
Your titties is bouncin', you smilin' and grinnin' and lookin’ at me

[Akon]
Girl and while your lookin' at me I’m ready to hit the caddy
Right up on the patio move the patty to the caddy
Baby you got a phatty, the type I like to marry
Wantin’ to just give you everything and that’s kinda scary
Cause I'm loving the way you shake your ass
Bouncin', got me tippin' my glass
Normally don’t get caught up too fast
But I got a thing for you

[Hook]
I see you windin’ and grindin’ up on the floor
I know you see me lookin' at you and you already know
I wanna love you... you already know
I wanna love you... you already know
I see you windin’ and grindin’ up on the floor
I know you see me lookin' at you and you already know
I wanna love you... you already know
I wanna love you... you already know, girl, girl",Akon,2006,"[2, 2, 2, 1, 1, 17, 20, 30, 41, 56, 79, 95]",12
2,Smack That,"[Intro: Akon]
Shady, Konvict, Upfront
Akon, Slim Shady
I see the one, could she be that lady? Ayy

[Chorus: Akon]
I feel you creepin', I can see you from my shadow
Wanna jump up in my Lamborghini Gallardo?
Maybe go to my place and just kick it like Tae Bo?
And possibly bend you over?
Look back and watch me
Smack that, all on the floor
Smack that, give me some more
Smack that, 'til you get sore
Smack that, oh-oh-oh-oh-oh
Smack that, all on the floor
Smack that, give me some more
Smack that, 'til you get sore
Smack that, oh-oh-oh-oh-oh

[Verse 1: Akon]
Upfront style, ready to attack now
Pull in the parking lot slow with the 'Lac down
Konvict's got the whole thing packed now
Step in the club and wardrobe intact now
I feel it, dawnin' cracked now
Ooh, I see it dull and backed now
I'ma call her, then I put the mack down
Money no problem, pocket full of that now

[Chorus: Akon]
I feel you creepin', I can see you from my shadow
Wanna jump up in my Lamborghini Gallardo?
Maybe go to my place and just kick it like Tae Bo?
And possibly bend you over?
Look back and watch me
Smack that, all on the floor
Smack that, give me some more
Smack that, 'til you get sore
Smack that, oh-oooh
Smack that, all on the floor
Smack that, give me some more
Smack that, 'til you get sore
Smack that, oh-oh-oh-oh-oh

[Verse 2: Eminem]
Oh, looks like another club banger
They better hang on when they throw this thang on
Get a little drink on, they gon' flip
For this Akon shit, you can bank on it
Pedicure, manicure, kitty-cat claws
The way she climbs up and down them poles
Lookin' like one of them Putty-Cat Dolls
Tryin' to hold my woodie back through my drawers
Steps upstage, didn't think I saw her
Creeps up behind me, and she's like ""You're —""
I'm like, ""I know, let's cut to the chase""
No time to waste, back to my place
Plus from the club to the crib, it's like a mile away
Or more like a palace, shall I say
And plus, I got a pal if your gal is game
In fact, he's the one singin' the song that's playin' (Akon!)

[Chorus: Akon]
I feel you creepin', I can you see from my shadow
Wanna jump up in my Lamborghini Gallardo?
Maybe go to my place and just kick it like Tae Bo?
And possibly bend you over?
Look back and watch me
Smack that, all on the floor
Smack that, give me some more
Smack that, 'til you get sore
Smack that, oh-oooh
Smack that, all on the floor
Smack that, give me some more
Smack that, 'til you get sore
Smack that, oh-oooh

[Verse 3: Akon]
Eminem's rollin', D and 'em rollin'
Bu and all marvelous, them rollin'
Women just ho-in', big booty rollin'
Soon, I'll be all in them and throwin' D (D)
Hittin' no less than three (Three)
Block wheel style like whee (Whee)
Girl, I can tell you want me, because lately

[Chorus: Akon]
I feel you creepin', I can see you from my shadow
Wanna jump up in my Lamborghini Gallardo?
Maybe go to my place and just kick it like Tae Bo?
And possibly bend you over?
Look back and watch me
Smack that, all on the floor
Smack that, give me some more
Smack that, 'til you get sore
Smack that, oh-oooh
Smack that, all on the floor
Smack that, give me some more
Smack that, 'til you get sore
Smack that, oh-oh-oh-oh-oh",Akon,2006,"[3, 4, 3, 3, 2, 2, 2, 2, 2, 4, 4, 7, 95]",13
3,Fergalicious,"[Intro: will.i.am]
(Four, tres, two, uno)
Listen up y'all, 'cause this is it
The beat that I'm banging is delicious

[Verse 1: Fergie]
Fergalicious definition, make the boys go loco
They want my treasures so they get their pleasures from my photo
You can see me, you can squeeze me
I ain't easy, I ain't sleazy
I got reasons why I tease 'em
Boys just come and go like seasons

[Pre-Chorus 1: Fergie & will.i.am]
Fergalicious (So delicious)
But, I ain't promiscuous
And if you was suspicious
All that shit is fictitious
I blow kisses (Muah!)
That puts them boys on rock, rock
And they be lining down the block
Just to watch what I got (Four, tres, two, uno)

[Chorus: Fergie]
It's so delicious (It's hot, hot)
It's so delicious (I put them boys on rock, rock)
It's so delicious (They want a taste of what I got)
I'm Fergalicious (T-t-t-t-t-tasty, tasty)

[Interlude 1: Fergie]
Fergalicious def-
Fergalicious def-
Fergalicious def- (Def-, def-, def-, def-...)

[Verse 2: Fergie & will.i.am]
Fergalicious definition, make them boys go crazy
They always claim they know me
Comin' to me, call me Stacy (Hey, Stacy!)
I'm the F to the E-R-G the I, the E
And can't no other lady put it down like me

[Pre-Chorus 2: Fergie & will.i.am]
I'm fergalicious (So delicious)
My body stay vicious
I be up in the gym, just working on my fitness
He's my witness (Ooh, wee!)
I put your boy on rock, rock
And he be lining down the block
Just to watch what I got (Four, tres, two, uno!)

[Chorus: Fergie]
It's so delicious (It's hot, hot)
It's so delicious (I put them boys on rock, rock)
It's so delicious (They want a taste of what I got)
I'm fergalicious

[Interlude 2: Fergie]
H-h-h-h-hold up! Check it out!

[Bridge: Fergie]
Baby, baby, baby
If you really wanna play
Honey, get some patience
Maybe then you'll get a taste
Of my tasty, tasty
I'll be laced with lacey
It's so tasty, tasty
It'll make you crazy

[Refrain: will.i.am]
T to the A to the S-T-E-Y, girl, you tasty
T to the A to the S-T-E-Y, girl, you tasty
D to the E to the L-I-C-I-O-U-S
To the D, to the E to the
To the, to the... (Hit it, Fergie)

[Verse 3: Fergie]
All the time I turn around, brothas gather 'round
Always looking at me up and down, looking at my uhhh
I just wanna say it now, I ain't trying to 'round up
Drama little mama, I don't wanna take your man
And I know I'm coming off just a little bit conceited
And I keep on repeatin' how the boys wanna eat it
But I'm tryna tell, that I can't be treated like clientele

[Pre-Chorus 1: Fergie & will.i.am]
'Cause they say she delicious (So delicious)
But, I ain't promiscuous
And if you was suspicious
All that shit is fictitious
I blow kisses (Muah!)
That puts them boys on rock, rock
And they be lining down the block
Just to watch what I got
(Four, tres, two, uno!)

[Pre-Chorus 2: Fergie & (will.i.am)]
My body stay vicious
I be up in the gym, just working on my fitness
He's my witness (Ooh, wee!)
I put your boy on rock, rock
And he be lining down the block
Just to watch what I got (Four, tres, two, uno!)

[Chorus Variation: Fergie]
It's so delicious (I, I, I, I)
It's so delicious (I, I, I, I)
It's so delicious (I, I, I, I)
I'm Fergalicious (T-t-t-t-t-tasty, tasty)
It's so delicious (I, I, I, I)
It's so delicious (I, I, I, I)
It's so delicious (I, I, I, I)
I'm Fergalicious (T-t-t-t-t-t-t-t-t)

[Outro: will.i.am & (Fergie)]
T to the A to the S-T-E-Y, girl, you tasty
T to the A to the S-T-E-Y, girl, you tasty
T to the A to the S-T-E-Y, girl, you tasty
T to the A to the, to the, to the, to the (Four, tres, two, uno)
To the D to the E to the L-I-C-I-O-U-S
To the D to the E to the L-I-C-I-O-U-S
To the D to the E to the L-I-C-I-O-U-S
To the D to the E to the, to the, to the, to the (Four, tres, two, uno)
T to the A to the S-T-E-Y, girl, you tasty
T to the A to the S-T-E-Y, girl, you tasty
T to the A to the S-T-E-Y, girl, you tasty
T to the A to the, to the, to the, to the (Four, tres, two, uno)
To the D to the E to the L-I-C-I-O-U-S
To the D to the E to the L-I-C-I-O-U-S
To the D to the E to the L-I-C-I-O-U-S
To the D to the E to the, to the, to the, to the...",Fergie,2006,"[4, 3, 4, 10, 5, 3, 3, 6, 19, 35, 55, 78, 79]",13
4,My Love,"[Intro: Justin Timberlake]
Ain't another woman that can take your spot, my—

[Verse 1: Justin Timberlake]
If I wrote you a symphony
Just to say how much you mean to me (What would you do?)
If I told you you were beautiful
Would you date me on the regular? (Tell me, would you?)
Well, baby, I've been around the world
But I ain't seen myself another girl (Like you)
This ring here represents my heart
But there's just one thing I need from you (Saying ""I do"")
Because

[Chorus: Justin Timberlake & Timbaland]
I can see us holdin' hands
Walkin' on the beach, our toes in the sand
I can see us on the country side
Sittin' on the grass, layin' side by side
You can be my baby
Let me make you my lady, girl, you amaze me
Ain't gotta do nothin' crazy
See, all I want you to do is be my love (So don't give away)
My love (So don't give away)
My love (So don't give away)
Ain't another woman that could take your spot
My love (So don't give away)
My love (So don't give away)
My love (So don't give away)
Ain't another woman that could take your spot, my love
Love, girl, my love, my love

[Verse 2: Justin Timberlake]
Now If I wrote you a love note
And made you smile at every word I wrote (What would you do?)
Would that make you wanna change your scene
And wanna be the one on my team? (Tell me, would you?)
See, what's the point in waitin' anymore?
'Cause girl, I've never been more sure (That, baby, it's you)
This ring here represents my heart
And everything that you been waitin' for (Just say it, ""I do"")
Because

[Chorus: Justin Timberlake & Timbaland]
I can see us holdin' hands
Walkin' on the beach, our toes in the sand
I can see us on the country side
Sittin' on the grass, layin' side by side
You can be my baby
Let me make you my lady, girl, you amaze me
Ain't gotta do nothin' crazy
See, all I want you to do is be my love (So don't give away)
My love (So don't give away)
My love (So don't give away)
Ain't another woman that could take your spot
My love (So don't give away)
My love (So don't give away)
My love (So don't give away)
Ain't another woman that could take your spot, my love
Love, my love, my love

[Interlude: T.I.]
Aight, it's time to get it, JT
I don't know what you hesitatin' for, man
Ay, ay, ay

[Verse 3: T.I.]
Shawty cool as a fan, on the move once again (Ay)
But he still has fans from Peru to Japan
Hey, listen, baby, I don't wanna ruin your plan (Nah)
But if you got a man, try to lose him if you can
'Cause the girls worldwide throw they hands up high
When you wanna come and kick it with a stand-up guy
You don't really wanna let the chance go by
'Cause you ain't been seen with a man so fly
And, babe, with friends so fly, I can go fly
Private, 'cause I handle my B.I
They call me Candle Guy (Why?)
Simply 'cause I am on fire (Haha)
I hate to have to cancel my vacation, so you can't deny
I'm patient, but I ain't gon' try (Nah)
You don't come, I ain't gon' die
Hold up, what you mean you can't go? Why? (Why?)
Me and your boyfriend, we ain't no tie (Uh-huh)
You say you wanna kick it when I ain't so high (Man)
Baby, it's obvious that I ain't yo' guy
I ain't gon' lie, I'll fill your space
And forget your face, I swear I will
St. Barths, Anguilla, anywhere I chill (Nice)
Just bring with me any pair, I will (C'mon)

[Chorus: Justin Timberlake]
I can see us holdin' hands
Walkin' on the beach, our toes in the sand
I can see us on the country side
Sittin' on the grass, layin' side by side
You can be my baby
Let me make you my lady, girl, you amaze me
Ain't gotta do nothin' crazy
See, all I want you to do is be my love (Love)
My love (Love)
My love (Love)
Ain't another woman that could take your spot
My love (Love)
My love (Love)
My love (Love)
Ain't another woman that could take your spot, my love
Love, love, my love, my love",Justin Timberlake,2006,"[5, 5, 5, 4, 4, 1, 1, 1, 5, 8, 13, 16, 25, 29, 89]",15
5,Say It Right,"[Intro: Timbaland]
Frk-frk-down
Hey
You don't mean nothin' at all to me
Hey, hey

[Verse 1: Nelly Furtado]
In the day, in the night
Say it right, say it all
You either got it, or you don't
You either stand, or you fall
When your will is broken
When it slips from your hand
When there's no time for jokin'
There's a hole in the plan

[Chorus: Nelly Furtado & (Timbaland)]
Oh, you don't mean nothing at all to me (Hey, oh, oh, hey)
No, you don't mean nothing at all to me (Hey, oh, oh, hey)
But you got what it takes to set me free (Hey, oh, oh, hey)
Oh, you could mean everything to me (Hey, oh, oh, hey)

[Verse 2: Nelly Furtado]
I can't say (Say) that I'm not (Not)
Lost (Lost) and at fault (Fault)
I can't say (Say) that I don't (Don't)
Love the light (Love) and the dark
I can't say that I don't (Don't)
Know that I am alive
And all of what I feel (Feel)
I could show (Show) you tonight, you tonight

[Chorus: Nelly Furtado & (Timbaland)]
Oh, you don't mean nothing at all to me (Hey, oh, oh, hey)
No, you don't mean nothing at all to me (Hey, oh, oh, hey)
But you got what it takes to set me free (Hey, oh, oh, hey)
Oh, you could mean everything to me (Hey, oh, oh, hey)

[Verse 3: Nelly Furtado]
From my hands I could give you
Something that I made
From my mouth, I could sing you another brick that I laid
From my body, I could show you a place God knows
You should know the space is holy
Do you really wanna go?
(Three, four)

[Outro: Timbaland]
Hey, hey, hey
You don't mean nothin' at all to me
Hey, hey
Hey, hey, hey
You don't mean nothin' at all to me
Hey, hey",Nelly Furtado,2006,"[6, 6, 12, 25, 66, 93]",6
6,We Fly High,"[Produced by Zukhan]

[Intro]
I wear a mean dark pair of shades
And you can't see my eyes
Unless my head is bent, you dig

[Hook]
We fly high, no lie, you know this (ballin'!)
Foreign rides outside, it's like showbiz (we in the building)
We stay fly, no lie, you know this (ballin'!)
Hips and thighs, oh my, stay focused

[Verse 1]
Ya boy gettin' paper (money), I buy big cars (foreign)
I need fly rides to drive in my garage (choose one!)
Stay sky high, twisted, fly with the stars (twinkle, twinkle)
G4 Flights, 80 grand large (ballin'!)
So we lean with it, pop with it (Bankhead)
'Vertible Jones, mean with the top missin' (flossin'!)
I'm sittin' clean with the bottom kitted (do it!)
I hopped out saggy jeans and my rock glistenin' (ballin'!)
But I spent 'bout 8 grand
Mami on stage doin' the rain dance (I think she like me)
She let it hit the floor, made it pop (what else?)
Got my pedal to the floor screamin', ""Fuck the cops!""

[Hook]
We fly high, no lie, you know this (ballin'!)
Foreign rides outside, it's like showbiz (we in the building)
We stay fly, no lie, you know this (ballin'!)
Hips and thighs, oh my, stay focused

[Verse 2]
Slow down, tonight may be gone tomorrow (one chance)
So I speed through life like there's no tomorrow (speedin'!)
100 G's worth of ice on the Audemars (flossin'!)
And we in the street life 'til they call the law (ballin'!)
I made the whip get naked (what happened?)
While I switch gears, bitch lookin' at the bracelet
Step out, show me what you all about
Flashbacks of last night of me ballin' out (Harlem!)
1 AM we was at the club (what happened?)
2 AM: ten bottles of bub (money ain't a thing)
And 'bout 3-somethin' I was thinkin' 'bout grub
So I stumbled to the car, threw the drinks and the drugs (twisted)

[Hook]
We fly high, no lie, you know this (ballin'!)
Foreign rides outside, it's like showbiz (we in the building)
We stay fly, no lie, you know this (ballin'!)
Hips and thighs, oh my, stay focused

[Verse 3]
Nigga, could you buy that? I keep 20 in the pocket (light change)
Talk a buck 80 if the Bentley is the topic (that Grey Poupon)
But of course got a Flying Spur
To the hood to roll dice on the side of the curb
But I know a G a bet may sound absurd (get your money up!)
Drive 80 up Lenox 'cause I got a urge (speedin'!)
The rap game like the crack game
Lifestyles, rich and famous, livin' in the fast lane (ballin'!)
So when I bleep, shorty bleep back
Lou' Vuitton belt where I'ma keep all the heat strapped
I beat the trial over Rucker (let's do it!)
All guns loaded and I'm back, motherfucker (Dipset)

[Hook]
We fly high, no lie, you know this (ballin'!)
Foreign rides outside, it's like showbiz (we in the building)
We stay fly, no lie, you know this (ballin'!)
Hips and thighs, oh my, stay focused

[Outro]
You niggas need to stay focused
When you're dealin' with a motherfuckin' G
You know my name, Jones, One Eye, Capo Status
All the above, motherfucka
This Dipset, ByrdGang, we born to fly
Y'all know the rules: fall back or fall back
Someone tell my bitch Summer I'm lookin' for her
Ya dig, another day another dollar, fast life fucka",Jim Jones,2006,"[7, 8, 10, 12, 16, 19, 29, 40, 54, 63, 87]",11
7,How To Save A Life,"Step one, you say, ""We need to talk.""
He walks, you say, ""Sit down. It's just a talk.""
He smiles politely back at you
You stare politely right on through
Some sort of window to your right
As he goes left and you stay right
Between the lines of fear and blame
You begin to wonder why you came

Where did I go wrong? I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life

Let him know that you know best
'Cause after all you do know best
Try to slip past his defense
Without granting innocence
Lay down a list of what is wrong
The things you've told him all along
Pray to God, he hears you
And I pray to God, he hears you

And where did I go wrong? I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life

As he begins to raise his voice
You lower yours and grant him one last choice
Drive until you lose the road
Or break with the ones you've followed
He will do one of two things
He will admit to everything
Or he'll say he's just not the same
And you'll begin to wonder why you came

Where did I go wrong? I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life

Where did I go wrong? I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life

Where did I go wrong? I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life",Taylor Swift,2006,"[8, 9, 7, 5, 8, 7, 6, 7, 6, 5, 5, 4, 3, 7, 16, 23, 29, 51, 61, 60, 58, 59, 69, 69, 76, 77, 73, 79, 82, 90, 84, 90, 89, 85, 96, 93]",36
8,Shortie Like Mine,"[Intro: Jermaine Dupri]
Y'all know what this is

[Chorus: Chris Brown, Johntá Austin & Bow Wow]
Only thing that keeps me up (Ha), when I'm feeling down
I don't know about you, but I gotta keep mines around
'Cause I done looked, I done searched, and it's hard to find
Another shorty like mine (Uh-huh), baby, yes, I'm
Addicted to how we kick it, everything you say to me (This is going out to all the shorties around the world)
Never knew it could be so wicked, hoping that you stay with me
Search around the world but you will never find (Uh)
Another shorty like mine (C'mon), shorty like mine
I tell my niggas that uh you got a girl but she ain't nothing like mine (Uh)
Cute face nice size like mine
Stay kitted, hood with like mine (Ha)
Mean walk, talk the talk, let me tell you some more (Woo)

[Verse 1: Bow Wow & Johntá Austin]
I knew that when I ran into this one
She would be the redrum of my pimpin' (Uh-huh)
Knew she would be the one to make me stop
Carin' about other girls on my jock and gettin' them (Oh)
She was the one to slow me down, hold me down
I roll with her know
Go with it now, I'ma grow with it now
I'ma go get her, that's how I got her
Don't be mad you can't get one hotta (Uh-huh)
Broke the mold when they made lil' momma (Uh)
I don't care what my niggas​ say
She been there every day for my drama (C'mon)
Some of the homies hate 'cause they want her
Wish they the ones that's datin' my woman (Oh)
Gon' get a good look 'cause she fine (Uh-huh)
And I don't mind 'cause she mine (Say what?)

[Chorus: Chris Brown, Johntá Austin & Bow Wow]
Only thing that keeps me up (Up), when I'm feeling down (Yeah)
I don't know about you, but I gotta keep mines around
'Cause I done looked, I done searched, and it's hard to find
Another shorty like mine (Uh-huh), baby, yes, I'm (Ooh, and i'm so addicted)
Addicted to how we kick it, everything you say to me (Don't be afraid to snap your fingers)
Never knew it could be so wicked, hoping that you stay with me
Search around the world but you will never find
Another shorty like mine, shorty like mine (Uh, uh, uh, uh)
I tell my niggas that uh you got a girl but she ain't nothing like mine (Nah)
Cute face nice size like mine (Yeah)
Stay kitted, hood with like mine (Yeah)
Mean walk, talk the talk, Chris, help me tell 'em wassup

[Verse 2: Chris Brown & Johntá Austin]
Now I got all this love inside of me and all I wanna do is give it to her (Break it down, break it down, break it down)
I don't care what the fellas say about it (I know)
'Cause I got something to say about it (Yeah)
What I'm about to say is straight up
Real talk, no cut I don't play about it (Haha)
There ain't a price you can put on a girl
Who knows (Uh-huh) just what to say when you need to hear it the most
And I'ma tell you something else
If I don't know nothing else, I know

[Chorus: Chris Brown, Johntá Austin & Bow Wow]
Only thing that keeps me up, when I'm feeling down (Only thing that I need, yeah)
I don't know about you, but I gotta keep mines around (I gotta have it all)
'Cause I done looked, I done searched, and it's hard to find
Another shorty like mine (Hey), baby, yes, I'm
Addicted to how we kick it, everything you say to me (Oh yeah, yeah)
Never knew it could be so wicked, hoping that you stay with me
Search around the world but you will never find (Searching, never find)
Another shorty like mine (Ha), shorty like mine
I tell my niggas that uh you got a girl but she ain't nothing like mine (Uh-huh)
Cute face nice size like mine (Mine)
Stay kitted, hood with like mine
Mean walk, talk the talk, let me tell you some more (Bow Wow, let it go)

[Verse 3: Bow Wow & Johntá Austin]
I wanna give her the world
And I ain't even tryna lose her (Uh-huh)
I'm addicted to my girl
And the way that she twirls in that little skirt (Uh-huh)
Just for me in the club, in the crib, in the streets
She reps for L B dub, E-N-T
She a nice size with the pretty brown bright eyes
I'm a winner with the right prize (Come on)
I'ma give it to her to the rhythm of a hi-hat
She got a beautiful mind you can't buy that (Nuh-uh)
And the sight of her behind when she walk on by
Make a nigga wanna try that (Yeah)
She got the prettiest smile and she gangsta (Uh-huh)
Keep me from runnin' wild and I thank her
And we can talk about anythin', she got good conversation
My homie, my friend and plus she patient (Oh)

[Chorus: Chris Brown, Johntá Austin & Bow Wow]
Only thing that keeps me up (Up), when I'm feeling down
I don't know about you, but I gotta keep mines around
'Cause I done looked, I done searched, and it's hard to find
Another shorty like mine (Like mine), baby, yes, I'm
Addicted to how we kick it, everything you say to me (Everything)
Never knew it could be so wicked, hoping that you stay with me (Girl, and play boy)
You can search around the world but you will never find
Another shorty like mine (Ha), shorty like mine
I tell my niggas that uh you got a girl but she ain't nothing like mine
Cute face nice size like mine (Oh, oh)
Stay kitted, hood with like mine (Oh, oh)
Mean walk, talk the talk, Chris, help me tell 'em wassup
Only thing that keeps me up, when I'm feeling down
I don't know about you (Uh-huh), but I gotta keep mines around (Uh-huh)
'Cause I done looked, I done searched, and it's hard to find
Another shorty like mine (That's right), baby, yes, I'm
Addicted to how we kick it, everything you say to me
Never knew it could be so wicked, hoping that you stay with me",Bow Wow,2006,"[9, 10, 9, 11, 10, 14, 14, 18, 21, 44, 80]",11
9,Lips Of An Angel,"[Verse 1]
Honey why you callin’ me so late?
It’s kinda hard to talk right now
Honey why you cryin’ is every-thing okay
I gotta whisper cause I can’t be too loud

[Pre-Chorus]
Well, my girl’s in
The next room
Sometimes I wish she was you
I guess we never really moved on

[Chorus]
It’s really good to hear your voice
Sayin’ my name it sounds so sweet
Comin’ from the lips of an angel
Hearin’ those words it makes me weak
And I never wanna say goodbye
But girl you make it hard to be faithful
With the lips of an angel

[Verse 2]
It‘s funny that you’re callin’ me tonight
And yes I’ve dreamt of you too
Does he know you’re talkin’ to me
Will it start a fight?
No I don’t think she has a clue

[Pre-Chorus]
Well, my girl’s in
The next room
Sometimes I wish she was you
I guess we never really moved on

[Chorus]
It’s really good to hear your voice
Sayin’ my name it sounds so sweet
Comin’ from the lips of an angel
Hearin’ those words it makes me weak
And I never wanna say goodbye
But girl you make it hard to be faithful
With the lips of an angel

[Pre-Chorus]
Well, my girl’s in
The next room
Sometimes I wish she was you
I guess we never really moved on

[Chorus/Outro]
It’s really good to hear your voice
Sayin’ my name it sounds so sweet
Comin’ from the lips of an angel
Hearin’ those words it makes me weak
And I never wanna say goodbye
But girl you make it hard to be faithful
With the lips of an angel
(And I never wanna say goodbye)
But girl you make it hard to be faithful
With the lips of an angel
Honey why you callin’ me so late?",Hinder,2006,"[10, 11, 8, 6, 6, 5, 5, 4, 3, 3, 3, 3, 5, 5, 9, 18, 25, 34, 49, 61, 70, 77, 97]",23
