,title,lyrics,artists,date,rank,cnt
0,Someday We'll Be Together,"[Chorus]
Someday we'll be together
Say, say, say it, say it again
Someday we'll be together
Oh, yeah, oh yeah

[Verse 1]
You're far away
From me my love
And just as sure my, my baby
As there are stars above
I wanna say, I wanna say, I wanna say

[Chorus]
Someday we'll be together
Yes we will, yes we will
Say, someday (some sweet day) we'll be together
I know, I know, I know, I know

[Verse 2]
My love is yours, baby
Oh, right from the start
You, you, you posses my soul now honey
And I know, I know you own my heart
And I wanna say:

[Chorus]
Someday we'll be together
Some sweet day we'll be together
Yes we will, yes we will
Someday (tell everybody now) we'll be together
Yes we will, yes we will

[Verse 3]
A long time ago, my my sweet thing
I made a big mistake, honey
I said, I said goodbye
Oh, oh baby
Ever (ever), ever (ever), ever since that day
Now, now all I wanna do is cry, cry

[Bridge]
Hey, hey, hey
I long for you every, every night
Just to kiss your sweet, sweet lips baby
Hold you ever, ever so tight
And I wanna say

[Chorus]
Someday we'll be together
Yes we will, yes we will
Someday we'll be together
Yes we will, yes we will

Someday we'll be together
Someday we'll be together",The Supremes,1969,"[1, 2, 3, 9, 11, 20, 34, 50]",8
1,Leaving On A Jet Plane,"[Verse 1]
All my bags are packed, I'm ready to go
I'm standing here outside your door
I hate to wake you up to say goodbye
But the dawn is breaking, it's early morn
The taxi's waiting, he's blowin' his horn
Already I'm so lonesome I could die

[Chorus]
So kiss me and smile for me
Tell me that you'll wait for me
Hold me like you'll never let me go
'Cause I'm leaving on a jet plane
Don't know when I'll be back again
Oh babe, I hate to go

[Verse 2]
There's so many times I let you down
So many times I've played around
I tell you now, they don't mean a thing
Every place I go, I'll think of you
Every song I sing, I'll sing for you
When I come back, I'll bring your wedding ring

[Chorus]
So kiss me and smile for me
Tell me that you'll wait for me
Hold me like you'll never let me go
'Cause I'm leaving on a jet plane
Don't know when I'll be back again
Oh babe, I hate to go

[Verse 3]
Now the time has come to leave you
One more time, let me kiss you
Then close your eyes, I'll be on my way
Dream about the days to come
When I won't have to leave alone
About the times I won't have to say

[Chorus]
Kiss me and smile for me
Tell me that you'll wait for me
Hold me like you'll never let me go
'Cause I'm leaving on a jet plane
Don't know when I'll be back again
Oh babe, I hate to go

[Outro]
I'm leaving on a jet plane
Don't know when I'll be back again
Oh babe, I hate to go",John Denver,1969,"[2, 1, 2, 2, 7, 12, 23, 39, 57, 76]",10
2,Raindrops Keep Fallin' On My Head,"Raindrops keep fallin' on my head
And just like the guy whose feet are too big for his bed
Nothin' seems to fit
Those raindrops are fallin' on my head, they keep fallin'

So I just did me some talkin' to the sun
And I said I didn't like the way he got things done
Sleepin' on the job
Those raindrops are fallin' on my head, they keep fallin'

But there's one thing I know
The blues they send to meet me won't defeat me
It won't be long 'til happiness steps up to greet me

Raindrops keep fallin' on my head
But that doesn't mean my eyes will soon be turnin' red
Cryin's not for me
'Cause I'm never gonna stop the rain by complainin'
Because I'm free
Nothing's worryin' me

It won't be long 'til happiness steps up to greet me

Raindrops keep fallin' on my head
But that doesn't mean my eyes will soon be turnin' red
Cryin's not for me
'Cause I'm never gonna stop the rain by complainin'
Because I'm free
Nothing's worryin'
Me",B.J. Thomas,1969,"[3, 5, 9, 13, 25, 37, 62, 80, 86]",9
3,Down On The Corner/Fortunate Son,"Yesterday afternoon set in misty and cold. I had half a mind to spend it by my study fire, instead of wading through heath and mud to Wuthering Heights. On coming up from dinner, however, (N.B.—I dine between twelve and one o’clock; the housekeeper, a matronly lady, taken as a fixture along with the house, could not, or would not, comprehend my request that I might be served at five)—on mounting the stairs with this lazy intention, and stepping into the room, I saw a servant-girl on her knees surrounded by brushes and coal-scuttles, and raising an infernal dust as she extinguished the flames with heaps of cinders. This spectacle drove me back immediately; I took my hat, and, after a four-miles’ walk, arrived at Heathcliff’s garden-gate just in time to escape the first feathery flakes of a snow-shower.

On that bleak hill-top the earth was hard with a black frost, and the air made me shiver through every limb. Being unable to remove the chain, I jumped over, and, running up the flagged causeway bordered with straggling gooseberry-bushes, knocked vainly for admittance, till my knuckles tingled and the dogs howled.

‘Wretched inmates!’ I ejaculated, mentally, ‘you deserve perpetual isolation from your species for your churlish inhospitality. At least, I would not keep my doors barred in the day-time. I don’t care—I will get in!’ So resolved, I grasped the latch and shook it vehemently. Vinegar-faced Joseph projected his head from a round window of the barn.

‘What are ye for?’ he shouted. ‘T’ maister’s down i’ t’ fowld. Go round by th’ end o’ t’ laith, if ye went to spake to him.’

‘Is there nobody inside to open the door?’ I hallooed, responsively.

‘There’s nobbut t’ missis; and shoo’ll not oppen ’t an ye mak’ yer flaysome dins till neeght.’

‘Why? Cannot you tell her whom I am, eh, Joseph?’

‘Nor-ne me! I’ll hae no hend wi’t,’ muttered the head, vanishing.

The snow began to drive thickly. I seized the handle to essay another trial; when a young man without coat, and shouldering a pitchfork, appeared in the yard behind. He hailed me to follow him, and, after marching through a wash-house, and a paved area containing a coal-shed, pump, and pigeon-cot, we at length arrived in the huge, warm, cheerful apartment where I was formerly received. It glowed delightfully in the radiance of an immense fire, compounded of coal, peat, and wood; and near the table, laid for a plentiful evening meal, I was pleased to observe the ‘missis,’ an individual whose existence I had never previously suspected. I bowed and waited, thinking she would bid me take a seat. She looked at me, leaning back in her chair, and remained motionless and mute.

‘Rough weather!’ I remarked. ‘I’m afraid, Mrs. Heathcliff, the door must bear the consequence of your servants’ leisure attendance: I had hard work to make them hear me.’

She never opened her mouth. I stared—she stared also: at any rate, she kept her eyes on me in a cool, regardless manner, exceedingly embarrassing and disagreeable.

‘Sit down,’ said the young man, gruffly. ‘He’ll be in soon.’

I obeyed; and hemmed, and called the villain Juno, who deigned, at this second interview, to move the extreme tip of her tail, in token of owning my acquaintance.

‘A beautiful animal!’ I commenced again. ‘Do you intend parting with the little ones, madam?’

‘They are not mine,’ said the amiable hostess, more repellingly than Heathcliff himself could have replied.

‘Ah, your favourites are among these?’ I continued, turning to an obscure cushion full of something like cats.

‘A strange choice of favourites!’ she observed scornfully.

Unluckily, it was a heap of dead rabbits. I hemmed once more, and drew closer to the hearth, repeating my comment on the wildness of the evening.

‘You should not have come out,’ she said, rising and reaching from the chimney-piece two of the painted canisters.

Her position before was sheltered from the light; now, I had a distinct view of her whole figure and countenance. She was slender, and apparently scarcely past girlhood: an admirable form, and the most exquisite little face that I have ever had the pleasure of beholding; small features, very fair; flaxen ringlets, or rather golden, hanging loose on her delicate neck; and eyes, had they been agreeable in expression, that would have been irresistible: fortunately for my susceptible heart, the only sentiment they evinced hovered between scorn and a kind of desperation, singularly unnatural to be detected there. The canisters were almost out of her reach; I made a motion to aid her; she turned upon me as a miser might turn if any one attempted to assist him in counting his gold.

‘I don’t want your help,’ she snapped; ‘I can get them for myself.’

‘I beg your pardon!’ I hastened to reply.

‘Were you asked to tea?’ she demanded, tying an apron over her neat black frock, and standing with a spoonful of the leaf poised over the pot.

‘I shall be glad to have a cup,’ I answered.

‘Were you asked?’ she repeated.

‘No,’ I said, half smiling. ‘You are the proper person to ask me.’

She flung the tea back, spoon and all, and resumed her chair in a pet; her forehead corrugated, and her red under-lip pushed out, like a child’s ready to cry.

Meanwhile, the young man had slung on to his person a decidedly shabby upper garment, and, erecting himself before the blaze, looked down on me from the corner of his eyes, for all the world as if there were some mortal feud unavenged between us. I began to doubt whether he were a servant or not: his dress and speech were both rude, entirely devoid of the superiority observable in Mr. and Mrs. Heathcliff; his thick brown curls were rough and uncultivated, his whiskers encroached bearishly over his cheeks, and his hands were embrowned like those of a common labourer: still his bearing was free, almost haughty, and he showed none of a domestic’s assiduity in attending on the lady of the house. In the absence of clear proofs of his condition, I deemed it best to abstain from noticing his curious conduct; and, five minutes afterwards, the entrance of Heathcliff relieved me, in some measure, from my uncomfortable state.

‘You see, sir, I am come, according to promise!’ I exclaimed, assuming the cheerful; ‘and I fear I shall be weather-bound for half an hour, if you can afford me shelter during that space.’

‘Half an hour?’ he said, shaking the white flakes from his clothes; ‘I wonder you should select the thick of a snow-storm to ramble about in. Do you know that you run a risk of being lost in the marshes? People familiar with these moors often miss their road on such evenings; and I can tell you there is no chance of a change at present.’

‘Perhaps I can get a guide among your lads, and he might stay at the Grange till morning—could you spare me one?’

‘No, I could not.’

‘Oh, indeed! Well, then, I must trust to my own sagacity.’

‘Umph!’

‘Are you going to mak’ the tea?’ demanded he of the shabby coat, shifting his ferocious gaze from me to the young lady.

‘Is he to have any?’ she asked, appealing to Heathcliff.

‘Get it ready, will you?’ was the answer, uttered so savagely that I started. The tone in which the words were said revealed a genuine bad nature. I no longer felt inclined to call Heathcliff a capital fellow. When the preparations were finished, he invited me with—‘Now, sir, bring forward your chair.’ And we all, including the rustic youth, drew round the table: an austere silence prevailing while we discussed our meal.

I thought, if I had caused the cloud, it was my duty to make an effort to dispel it. They could not every day sit so grim and taciturn; and it was impossible, however ill-tempered they might be, that the universal scowl they wore was their every-day countenance.

‘It is strange,’ I began, in the interval of swallowing one cup of tea and receiving another—‘it is strange how custom can mould our tastes and ideas: many could not imagine the existence of happiness in a life of such complete exile from the world as you spend, Mr. Heathcliff; yet, I’ll venture to say, that, surrounded by your family, and with your amiable lady as the presiding genius over your home and heart—’

‘My amiable lady!’ he interrupted, with an almost diabolical sneer on his face. ‘Where is she—my amiable lady?’

‘Mrs. Heathcliff, your wife, I mean.’

‘Well, yes—oh, you would intimate that her spirit has taken the post of ministering angel, and guards the fortunes of Wuthering Heights, even when her body is gone. Is that it?’

Perceiving myself in a blunder, I attempted to correct it. I might have seen there was too great a disparity between the ages of the parties to make it likely that they were man and wife. One was about forty: a period of mental vigour at which men seldom cherish the delusion of being married for love by girls: that dream is reserved for the solace of our declining years. The other did not look seventeen.

Then it flashed upon me—‘The clown at my elbow, who is drinking his tea out of a basin and eating his bread with unwashed hands, may be her husband: Heathcliff junior, of course. Here is the consequence of being buried alive: she has thrown herself away upon that boor from sheer ignorance that better individuals existed! A sad pity—I must beware how I cause her to regret her choice.’ The last reflection may seem conceited; it was not. My neighbour struck me as bordering on repulsive; I knew, through experience, that I was tolerably attractive.

‘Mrs. Heathcliff is my daughter-in-law,’ said Heathcliff, corroborating my surmise. He turned, as he spoke, a peculiar look in her direction: a look of hatred; unless he has a most perverse set of facial muscles that will not, like those of other people, interpret the language of his soul.

‘Ah, certainly—I see now: you are the favoured possessor of the beneficent fairy,’ I remarked, turning to my neighbour.

This was worse than before: the youth grew crimson, and clenched his fist, with every appearance of a meditated assault. But he seemed to recollect himself presently, and smothered the storm in a brutal curse, muttered on my behalf: which, however, I took care not to notice.

‘Unhappy in your conjectures, sir,’ observed my host; ‘we neither of us have the privilege of owning your good fairy; her mate is dead. I said she was my daughter-in-law: therefore, she must have married my son.’

‘And this young man is—’

‘Not my son, assuredly.’

Heathcliff smiled again, as if it were rather too bold a jest to attribute the paternity of that bear to him.

‘My name is Hareton Earnshaw,’ growled the other; ‘and I’d counsel you to respect it!’

‘I’ve shown no disrespect,’ was my reply, laughing internally at the dignity with which he announced himself.

He fixed his eye on me longer than I cared to return the stare, for fear I might be tempted either to box his ears or render my hilarity audible. I began to feel unmistakably out of place in that pleasant family circle. The dismal spiritual atmosphere overcame, and more than neutralised, the glowing physical comforts round me; and I resolved to be cautious how I ventured under those rafters a third time.

The business of eating being concluded, and no one uttering a word of sociable conversation, I approached a window to examine the weather. A sorrowful sight I saw: dark night coming down prematurely, and sky and hills mingled in one bitter whirl of wind and suffocating snow.

‘I don’t think it possible for me to get home now without a guide,’ I could not help exclaiming. ‘The roads will be buried already; and, if they were bare, I could scarcely distinguish a foot in advance.’

‘Hareton, drive those dozen sheep into the barn porch. They’ll be covered if left in the fold all night: and put a plank before them,’ said Heathcliff.

‘How must I do?’ I continued, with rising irritation.

There was no reply to my question; and on looking round I saw only Joseph bringing in a pail of porridge for the dogs, and Mrs. Heathcliff leaning over the fire, diverting herself with burning a bundle of matches which had fallen from the chimney-piece as she restored the tea-canister to its place. The former, when he had deposited his burden, took a critical survey of the room, and in cracked tones grated out—‘Aw wonder how yah can faishion to stand thear i’ idleness un war, when all on ’ems goan out! Bud yah’re a nowt, and it’s no use talking—yah’ll niver mend o’yer ill ways, but goa raight to t’ divil, like yer mother afore ye!’

I imagined, for a moment, that this piece of eloquence was addressed to me; and, sufficiently enraged, stepped towards the aged rascal with an intention of kicking him out of the door. Mrs. Heathcliff, however, checked me by her answer.

‘You scandalous old hypocrite!’ she replied. ‘Are you not afraid of being carried away bodily, whenever you mention the devil’s name? I warn you to refrain from provoking me, or I’ll ask your abduction as a special favour! Stop! look here, Joseph,’ she continued, taking a long, dark book from a shelf; ‘I’ll show you how far I’ve progressed in the Black Art: I shall soon be competent to make a clear house of it. The red cow didn’t die by chance; and your rheumatism can hardly be reckoned among providential visitations!’

‘Oh, wicked, wicked!’ gasped the elder; ‘may the Lord deliver us from evil!’

‘No, reprobate! you are a castaway—be off, or I’ll hurt you seriously! I’ll have you all modelled in wax and clay! and the first who passes the limits I fix shall—I’ll not say what he shall be done to—but, you’ll see! Go, I’m looking at you!’

The little witch put a mock malignity into her beautiful eyes, and Joseph, trembling with sincere horror, hurried out, praying, and ejaculating ‘wicked’ as he went. I thought her conduct must be prompted by a species of dreary fun; and, now that we were alone, I endeavoured to interest her in my distress.

‘Mrs. Heathcliff,’ I said earnestly, ‘you must excuse me for troubling you. I presume, because, with that face, I’m sure you cannot help being good-hearted. Do point out some landmarks by which I may know my way home: I have no more idea how to get there than you would have how to get to London!’

‘Take the road you came,’ she answered, ensconcing herself in a chair, with a candle, and the long book open before her. ‘It is brief advice, but as sound as I can give.’

‘Then, if you hear of me being discovered dead in a bog or a pit full of snow, your conscience won’t whisper that it is partly your fault?’

‘How so? I cannot escort you. They wouldn’t let me go to the end of the garden wall.’

‘You! I should be sorry to ask you to cross the threshold, for my convenience, on such a night,’ I cried. ‘I want you to tell me my way, not to show it: or else to persuade Mr. Heathcliff to give me a guide.’

‘Who? There is himself, Earnshaw, Zillah, Joseph and I. Which would you have?’

‘Are there no boys at the farm?’

‘No; those are all.’

‘Then, it follows that I am compelled to stay.’

‘That you may settle with your host. I have nothing to do with it.’

‘I hope it will be a lesson to you to make no more rash journeys on these hills,’ cried Heathcliff’s stern voice from the kitchen entrance. ‘As to staying here, I don’t keep accommodations for visitors: you must share a bed with Hareton or Joseph, if you do.’

‘I can sleep on a chair in this room,’ I replied.

‘No, no! A stranger is a stranger, be he rich or poor: it will not suit me to permit any one the range of the place while I am off guard!’ said the unmannerly wretch.

With this insult my patience was at an end. I uttered an expression of disgust, and pushed past him into the yard, running against Earnshaw in my haste. It was so dark that I could not see the means of exit; and, as I wandered round, I heard another specimen of their civil behaviour amongst each other. At first the young man appeared about to befriend me.

‘I’ll go with him as far as the park,’ he said.

‘You’ll go with him to hell!’ exclaimed his master, or whatever relation he bore. ‘And who is to look after the horses, eh?’

‘A man’s life is of more consequence than one evening’s neglect of the horses: somebody must go,’ murmured Mrs. Heathcliff, more kindly than I expected.

‘Not at your command!’ retorted Hareton. ‘If you set store on him, you’d better be quiet.’

‘Then I hope his ghost will haunt you; and I hope Mr. Heathcliff will never get another tenant till the Grange is a ruin,’ she answered, sharply.

‘Hearken, hearken, shoo’s cursing on ’em!’ muttered Joseph, towards whom I had been steering.

He sat within earshot, milking the cows by the light of a lantern, which I seized unceremoniously, and, calling out that I would send it back on the morrow, rushed to the nearest postern.

‘Maister, maister, he’s staling t’ lanthern!’ shouted the ancient, pursuing my retreat. ‘Hey, Gnasher! Hey, dog! Hey Wolf, holld him, holld him!’

On opening the little door, two hairy monsters flew at my throat, bearing me down, and extinguishing the light; while a mingled guffaw from Heathcliff and Hareton put the copestone on my rage and humiliation. Fortunately, the beasts seemed more bent on stretching their paws, and yawning, and flourishing their tails, than devouring me alive; but they would suffer no resurrection, and I was forced to lie till their malignant masters pleased to deliver me: then, hatless and trembling with wrath, I ordered the miscreants to let me out—on their peril to keep me one minute longer—with several incoherent threats of retaliation that, in their indefinite depth of virulency, smacked of King Lear.

The vehemence of my agitation brought on a copious bleeding at the nose, and still Heathcliff laughed, and still I scolded. I don’t know what would have concluded the scene, had there not been one person at hand rather more rational than myself, and more benevolent than my entertainer. This was Zillah, the stout housewife; who at length issued forth to inquire into the nature of the uproar. She thought that some of them had been laying violent hands on me; and, not daring to attack her master, she turned her vocal artillery against the younger scoundrel.

‘Well, Mr. Earnshaw,’ she cried, ‘I wonder what you’ll have agait next? Are we going to murder folk on our very door-stones? I see this house will never do for me—look at t’ poor lad, he’s fair choking! Wisht, wisht; you mun’n’t go on so. Come in, and I’ll cure that: there now, hold ye still.’

With these words she suddenly splashed a pint of icy water down my neck, and pulled me into the kitchen. Mr. Heathcliff followed, his accidental merriment expiring quickly in his habitual moroseness.

I was sick exceedingly, and dizzy, and faint; and thus compelled perforce to accept lodgings under his roof. He told Zillah to give me a glass of brandy, and then passed on to the inner room; while she condoled with me on my sorry predicament, and having obeyed his orders, whereby I was somewhat revived, ushered me to bed.",Emily Brontë,1969,"[4, 3, 5, 5, 9, 21, 30, 38, 60, 87]",10
4,Na Na Hey Hey Kiss Him Goodbye,"[Intro]
Na-na-na-na, na-na-na-na, hey, hey, hey, goodbye

[Verse 1]
He'll never love you the way that I love you
'Cause if he did, no no, he wouldn't make you cry

[Pre-Chorus]
He might be thrillin' baby, but a-my love (My love, my love)
So dog-gone willin', so kiss him
(I wanna see you kiss him, wanna see you kiss him)
Go on and kiss him goodbye, now

[Chorus]
Na-na-na-na, hey, hey, hey, goodbye
Na-na-na-na, na-na-na-na, hey, hey, hey, goodbye
(Listen to me now)

[Verse 2]
He's never near you to comfort and cheer you
When all those sad tears are fallin', baby, from your eyes

[Pre-Chorus]
He might be thrillin' baby but a-my love (My love, my love)
So dog-gone willin', so kiss him
(I wanna see you kiss him, I wanna see you kiss him)
Go on and kiss him goodbye

[Chorus]
(Na-na-na-na, na-na-na-na)
Na-na-na-na, hey, hey, hey, goodbye

[Refrain]
(Hey, hey, hey, goodbye)
(Na-na-na-na, na-na-na-na, hey, hey, hey, goodbye)
Na-na-na-na, na-na-na-na, hey, hey, hey, goodbye
Na-na-na-na, na-na-na-na, hey, hey, hey, goodbye
Na-na-na-na, na-na-na-na, hey, hey, hey, goodbye
Na-na-na-na, na-na-na-na, hey, hey, hey, goodbye
Na-na-na-na, na-na-na-na, hey, hey, hey, goodbye
Na-na-na-na, na-na-na-na, hey, hey, hey, goodbye
Na-na-na-na, na-na-na-na, hey, hey, hey, goodbye
Na-na-na-na, na-na-na-na, hey, hey, hey, goodbye

[Outro]
I really love you girl, I really need you now
(Na-na-na-na, na-na-na-na)
I got to have you each and every day, I need ya
(Hey, hey, hey, goodbye)
Come on, girl
(Na-na-na-na, na-na-na-na)
Come on, girl, alright
(Hey, hey, hey, goodbye)
He really hurt ya, I'm on my knees, yeah
(Na-na-na-na, na-na-na-na)
I can't have got him, well alright
(Hey, hey, hey, goodbye)
Come on, give it to me, na na na na na na na na
(Na-na-na-na, na-na-na-na)
It's alright, give it to me one time, hey
(Hey, hey, hey, goodbye)
Na na na na na na na
(Na-na-na-na, na-na-na-na)
Hey, hey, hey, girl, alright
(Hey, hey, hey, goodbye)
Hey, here we go, na na na na na na na na
(Na-na-na-na, na-na-na-na)
Girl, alright
(Hey, hey, hey, goodbye)
I really...",Steam,1969,"[5, 4, 1, 1, 5, 6, 11, 22, 45, 52, 76]",11
5,Holly Holy,"Holly holy eyes, dream of only me
Where I am, what I am
What I believe in
Holly holy

Holly holy dream
Wanting only you
And she come
And I run just like the wind will
Holly holy

Sing a song
Sing a song of songs
Sing it out, Sing it strong
Yeah! Yeah!

Call the sun in the dead of the night
And the sun gonna rise in the sky
Touch a man who can't walk upright
And that lame man, he gonna fly
And I fly, yeah, And I fly

Holly holy love
Take the lonely child
And the seed
Let it be full with tomorrow
Holly holy

Sing a song
Sing a song of songs
Sing it out, sing it strong
Yeah! Yeah!

Call the sun in the dead of the night
And the sun gonna rise in the sky
Touch a man who can't walk upright
And that lame man, he gonna fly
And I fly, yeah
God (And) I fly

Holly holy dream
Dream 'bout only you
Holly holy sun
Holly holy rain
Holly holy love",Neil Diamond,1969,"[6, 9, 13, 16, 18, 28, 32, 44, 71]",9
6,Come Together/Something,"[Verse 1]
Well even the longest night won't last forever
But too many hopes and dreams won't see the light
And all of the plans I make won't come together

[Pre-Chorus]
Something in the air
Maybe for the only time in my life
Something in the air
Turning me around and guiding me right

[Chorus]
And it's a prime time, maybe the stars were right
I had a premonition, it's gonna be my turn tonight
Gonna be my turn tonight

[Verse 2]
Well even the brightest star won't shine forever
But all of the hands I play are working out right
And every move I make feels like a winner

[Pre-Chorus]

[Chorus]
And it's a prime time, maybe the stars were right
I had a premonition, it's gonna be my turn tonight
Gonna be my turn tonight
Gonna be my turn tonight

[Guitar Solo]

[Chorus]

[Outro]
Gonna be my turn tonight",The Alan Parsons Project,1969,"[7, 6, 4, 3, 1, 7, 2, 3, 10, 13, 23]",11
7,I Want You Back,"[Intro: Michael Jackson]
Uh-huh huh huh huh
Let me tell ya now
Uh-huh

[Verse 1: Michael Jackson]
When I had you to myself, I didn't want you around
Those pretty faces always made you stand out in a crowd
But someone picked you from the bunch, one glance was all it took
Now it's much too late for me to take a second look

[Chorus: Michael Jackson & Jackson 5]
Oh, baby, give me one more chance (To show you that I love you)
Won't you please let me (Back in your heart)
Oh, darlin', I was blind to let you go (Let you go, baby)
But now since I see you in his arms (I want you back)

[Post-Chorus: Michael Jackson & Jackson 5]
Yes, I do now (I want you back)
Ooh, ooh, baby (I want you back)
Yeah, yeah, yeah, yeah (I want you back)
Na, na, na, na

[Verse 2: Michael Jackson]
Tryin' to live without your love is one long sleepless night
Let me show you, girl, that I know wrong from right
Every street you walk on I leave tear stains on the ground
Following the girl, I didn't even want around
Let me tell you now

[Chorus: Michael Jackson & Jackson 5]
Oh, baby, all I need is one more chance (To show you that I love you)
Won't you please let me (Back in your heart)
Oh, darlin', I was blind to let you go (Let you go, baby)
But now since I see you in his arms, uh-huh

[Bridge: Michael Jackson]
A buh buh buh buh
A buh buh buh buh, all I want
A buh buh buh buh, all I need
A buh buh buh buh, all I want
A buh buh buh buh, all I need

[Chorus 2: Jermaine Jackson, Michael Jackson & Jackson 5]
Oh, just one more chance
To show you that I love you
Baby! Baby!
Baby! Baby!
Baby! Baby!
I want you back

[Jackie Jackson & Jackson 5]
Forget what happened then
I want you back

[Jermaine Jackson]
Let me live again

[Chorus 3: Michael Jackson & Jackson 5]
Oh baby, I was blind to let you go
But now since I see you in his arms
I want you back

[Jackie Jackson]
Spare me of this cause

[Jermaine Jackson]
Gimme back what I lost

[Outro: Michael Jackson]
Oh baby I need one more chance ha
I tell ya that I love you
Oh! Oh! Oh! I want you back!",The Jackson 5,1969,"[8, 17, 19, 27, 51, 67, 90]",7
8,Whole Lotta Love,"[Verse 1]
You need coolin', baby, I'm not foolin'
I'm going to send you back to schoolin'
Way down inside, honey, you need it
I'm goin' to give you my love
I'm goin' to give you my love, oh

[Chorus]
Want a whole lotta love
Want a whole lotta love
Want a whole lotta love
Want a whole lotta love

[Verse 2]
You've been learnin', baby, I've been yearnin'
All them good times, baby, baby, I've been learnin'
Way, way down inside, honey, you need it
I'm gonna give you my love, ah
I'm goin' to give you my love, ah, oh

[Chorus]
Want a whole lotta love
Want a whole lotta love
Want a whole lotta love
Want a whole lotta love

[Instrumental Trip Sequence 1:19-3:20]
[Guitar Solo]

[Verse 3]
You've been coolin', baby, I've been droolin'
All the good times, baby, I've been misusin'
Way, way down inside, I'm goin' to give you my love
I'm goin' to give you every inch of my love
Goin' to give you my love, hey, alright, yes, sir

[Chorus]
Want a whole lotta love
Want a whole lotta love
Want a whole lotta love
Want a whole lotta love

[Outro]
Way down inside, woman, you need love
Shake for me, girl, I want to be your backdoor man
Hey! Oh! Hey! Oh! Hey! Oh!
Keep it coolin', baby
Keep it coolin', baby
Keep it coolin', baby
Keep it coolin', baby
Keep it coolin', baby",Led Zeppelin,1969,"[9, 12, 21, 28, 45, 91]",6
9,Take A Letter Maria,"Last night as I got home about a half past ten
There was the woman I thought I knew
In the arms of another man
I kept my cool, I ain't no fool
Let me tell you what happened then
I packed some clothes and I walked out
And I ain't going back again

So take a letter Maria, address it to my wife
Say I won't be coming home, gonna start a new life
So take a letter Maria, address it to my wife
Send a copy to my lawyer, gotta start a new life

You've been many things but most of all a good secretary to me
And it's times like this I feel you've always been close to me
Was I wrong to work nights to try to build a good life
All work and no play has just cost me a wife

So take a letter Maria, address it to my wife
Say I won't be coming home, gonna start a new life
So take a letter Maria, address it to my wife
Send a copy to my lawyer, gotta start a new life

When a man loves a woman it's hard to understand
That she would find more pleasure in the arms of another man
I never really noticed how sweet you are to me
It just so happens I'm free tonight
Would you like to have dinner with me

So take a letter Maria, address it to my wife
Say I won't be coming home, gonna start a new life
So take a letter Maria, address it to my wife
Send a copy to my lawyer, gotta start a new life",R.B. Greaves,1969,"[10, 8, 6, 4, 4, 2, 10, 18, 21, 37, 61]",11
