,title,lyrics,artists,date,rank,cnt
0,The Lion Sleeps Tonight,"[Intro]
Weeheeheehee, dee heeheeheehee, weeoh aweem away
Weeheeheehee, dee heeheeheehee, weeoh aweem away
A-weema-weh, a-weema-weh, a-weema-weh, a-weema-weh
A-weema-weh, a-weema-weh, a-weema-weh, a-weema-weh
A-weema-weh, a-weema-weh, a-weema-weh, a-weema-weh
A-weema-weh, a-weema-weh, a-weema-weh, a-weema-weh

[Verse 1]
In the jungle, the mighty jungle
The lion sleeps tonight
In the jungle, the quiet jungle
The lion sleeps tonight – ho, ho!

[Chorus]
Weeheeheehee, dee heeheeheehee, weeoh aweem away
(A-weema-weh, a-weema-weh, a-weema-weh, a-weema-weh)
(A-weema-weh, a-weema-weh, a-weema-weh, a-weema-weh)
Weeheeheehee dee heeheeheehee weeoh aweem away
(A-weema-weh, a-weema-weh, a-weema-weh, a-weema-weh)
(A-weema-weh, a-weema-weh, a-weema-weh, a-weema-weh)

[Verse 2]
Near the village, the peaceful village
The lion sleeps tonight
Near the village, the quiet village
The lion sleeps tonight  – ho, ho!

[Chorus]
Weeheeheehee, dee heeheeheehee, weeoh aweem away
(A-weema-weh, a-weema-weh, a-weema-weh, a-weema-weh)
(A-weema-weh, a-weema-weh, a-weema-weh, a-weema-weh)
Rrrrrr, lalalaba, weeoh aweem away
(A-weema-weh, a-weema-weh, a-weema-weh, a-weema-weh)
(A-weema-weh, a-weema-weh, a-weema-weh, a-weema-weh)

[Bridge]
Hush, my darling, don't fear, my darling
The lion sleeps tonight
Hush, my darling, don't fear, my darling
The lion sleeps tonight  – ho, ho!

[Chorus]
Whoa, whoa, whoa; whoa, whoa, whoa; whoa, whoa, aweem away
(A-weema-weh, a-weema-weh, a-weema-weh, a-weema-weh)
(A-weema-weh, a-weema-weh, a-weema-weh, a-weema-weh)
Weeheeheehee, dee heeheeheehee, weeoh aweem away
(A-weema-weh, a-weema-weh, a-weema-weh, a-weema-weh)
(A-weema-weh, a-weema-weh, a-weema-weh, a-weema-weh)

[Outro]
Weeheeheehee, dee heeheeheehee, weeoh aweem away
Weeheeheehee, dee heeheeheehee, weeoh aweem away
Weeheeheehee, dee heeheeheehee, weeoh aweem away",The Tokens,1961,"[1, 1, 6, 17, 36, 55, 70]",7
1,Run To Him,"[Verse 1]
Just when the party is over
The thrill is gone
I hear a new voice saying
He's only begun
He says that He wants to guide me
To brighter days
He said He would walk beside me
And open up a way

[Chorus 1]
So I will run to Him
So I will run to Him
Lord, I am running
For Your living water
Ooo hallelujah

[Verse 2]
I heard of His name in stories
And Sunday songs
But my image of Him was distant
My image was wrong
Turns out He's so much closer
And oh so deep
My faith in Him so much bolder
My direction is clear

[Chorus 1]
So I will run to Him
So I will run to Him
Lord, I am running
For Your living water
Ooo hallelujah
So I will run to Him
So I will run to Him
Lord, I am running
For Your living water
Ooo hallelujah

[Bridge 1]
What are you waiting for?
I here He's still turning water into wine
What are you waiting for?
Yes. He's still giving sighs to the blind
His pure perfection is no mystery
So I will testify
And when He [?] the sky
I'll do all that I can with me

[Chorus 2]
Why don't you run to Him?
Why don't you run to Him?
Lord, I'm running
For Your living water
Ooo hallelujah
Why don't you run to Him?
Why don't you run to Him?
Lord, I'm running
For Your living water
Ooo hallelujah
Lord, I'm running
For Your living water
Ooo hallelujah
Lord, I'm running
For Your living water
Ooo hallelujah

[Instrumental]",CeCe Winans,1961,"[2, 3, 7, 11, 17, 29, 57]",7
2,The Twist,"[Chorus:]
Come on baby let's do the twist
Come on baby let's do the twist
Take me by my little hand and go like this
Ee-oh twist baby baby twist
Oooh-yeah just like this
Come on little miss and do the twist

[Verse 1:]
My daddy is sleepin' and mama ain't around
Yeah daddy just sleepin' and mama ain't around
We're gonna twisty twisty twisty
'Til we tear the house down
Come on and twist yeah baby twist
Oooh-yeah just like this
Come on little miss and do the twist

[Verse 2:]
Yeah you should see my little Sis
You should see my my little Sis
She really knows how to rock
She knows how to twist
Come on and twist yeah baby twist
Oooh-yeah just like this
Come on little miss and do the twist
Yeah rock on now
Yeah twist on now
Twist",Chubby Checker,1961,"[3, 4, 4, 6, 16, 27, 55]",7
3,Goodbye Cruel World,"[Verse: Roger Waters]
Goodbye, cruel world, I'm leaving you today
Goodbye, goodbye, goodbye
Goodbye, all you people, there's nothing you can say
To make me change my mind, goodbye",Pink Floyd,1961,"[4, 6, 3, 3, 4, 4, 12, 27, 48, 69, 88]",11
4,Walk On By,"All the things that I do
All the hell I’ve been through
It somehow doesn’t matter
I see the light and it moves
Reaching I can’t break through (break through x3)

I’m walking on the dark side - I can’t get away
I’m flirting with disaster - It’s the price I pay
Feelings of hopelessness engulf me everyday
Yet I walk on by walk on by

All I do to get through
All this pain is subdued
It always comes back smarter
I see the dark and it soothes

Freaking out I can’t move (can’t move x3)

I’m walking on the dark side - I can’t get away
I’m flirting with disaster - It’s the price I pay
Feelings of hopelessness engulf me everyday
Yet I walk on by walk on by x3

And they’re searching for me
Trying to steal and dissect my time
Always they’re beating and constantly screaming inside
And they’re ripping in me
And they’re taking my happiness making it worthless
And they’re leaving me here to die

I feel them laughing at me
I feel them snapping at me
I feel the pressure inside building ‘til I try to break free

I can’t believe what I’ve done
I should have never begun
I feel the pressure inside telling me I never was the one

I feel them laughing at me
I feel them snapping at me
I feel them laughing at me
I feel them snapping at me

I’m walking on the dark side - I can’t get away
I’m flooding with disaster - It’s the price I pay
Feelings of hopelessness engulf me everyday
(Yet I walk on I walk on by) x3",Jonathan Davis,1961,"[5, 5, 5, 7, 12, 31, 46, 89, 98]",9
5,Peppermint Twist - Part I,"Got a new dance and it goes like this:
(Hupp di da pep-pep-pep-pep-pep)
The Name of this dance is the Peppermint Twist:
(Hupp di da pep-pep-pep-pep-pep)
You'll like it like this
The Peppermint Twist
(Hupp di da pep-pep-pep-pep-pep)

'Round and 'round
Up and down

'Round and 'round
Up and down
It's 'round and 'round and up and down

One two three kick! One two tree jump!

All the girls yeah we go the twist
(Hey Pepe
The Peppermint Twist)
Do the plane the same it's the Peppermint Twist
(Hey Pepe
The Peppermint Twist)
You will what
What is the Peppermint Twist
(Hey Pepe
The Peppermint Twist)

'Round and 'round
Up and down

It's goes 'round and 'round
And up and down
One two tree good one ha ha ha ha
One two tree good one ha ha ha ha
One two tree good one ha ha ha ha
One two tree good one ha ha ha ha
You wanna love than do this the Peppermint Twist",Joey Dee & The Starliters,1961,"[6, 10, 15, 29, 43, 68]",6
6,Please Mr. Postman,"[Intro]
(Wait) Oh yes, wait a minute, Mr. Postman
(Wait) Wai-hey-hey-hey-it, Mr. Postman

[Chorus]
(Please, Mr. Postman, look and see) Whoa yeah
(Is there a letter in your bag for me?) Please, please, Mr. Po-oh-ostman
('Cause it's been a mighty long time) Whoa yeah
(Since I heard from this boyfriend of mine)

[Verse 1]
There must be some word today
From my boyfriend so far away
Please, Mr. Postman, look and see
Is there a letter, a letter for me?
I've been standin' here waitin', Mr. Postman
So so patiently
For just a card or just a letter
Sayin' he's returnin' home to me

[Chorus]
Please, Mr. Postman
(Please, Mr. Postman, look and see) Whoa yeah
(Is there a letter in your bag for me?) Please, please, Mr. Po-oh-oh-ostman
('Cause it's been a mighty long time) Whoa yeah
(Since I heard from this boyfriend of mine)

[Verse 2]
So many days, you've passed me by
You saw the tears standin' in my eye
You wouldn't stop to make me feel better
By leavin' me a card or a letter

Please, Mr. Postman, look and see
Is there a letter, oh yeah, in your bag for me?
You know it's been so long
Yeah, since I heard from this boyfriend of mine

[Outro]
You better wait a minute, wait a minute
(Wait a minute, Mr. Postman)
Whoa, you better wait a minute
Please, please, Mr. Postman (Wait a minute, Mr. Postman)
Please check and see
Just one more time for me

You gotta wait a minute (wait), wait a minute (Wait a minute, Mr. Postman)
Oh you better wait a minute, wait a minute
Please, Mr. Po-ostman (Wait a minute, Mr. Postman)
Don't pass me by, you see the tears in my eyes

You better wait (Wait)
Wait a minute (Wait a minute, Mr. Postman)
Wait a minute, wait a minute, wait a minute
(Wait, wait a minute, Mr. Postman)
Please Mr. Postman",The Marvelettes,1961,"[7, 2, 1, 2, 3, 8, 9, 17, 33, 30, 35, 52, 81, 79, 82, 88, 95]",17
7,"Happy Birthday, Sweet Sixteen","Tra la-la-la-la la-la-la-la
Happy birthday sweet sixteen
Tra la-la-la-la la-la-la-la
Happy birthday sweet sixteen

Tonight's the night
I've waited for
Because you're not a baby anymore
You've turned into the prettiest girl I've ever seen
Happy birthday sweet sixteen

What happened to
That funny face
My little tomboy now wears satins and lace
I can't believe my eyes
You're just a teenage dream
Happy birthday sweet sixteen

When you were only six
I was your big brother
Then when you were ten
We didn't like each other
When you were thirteen
You were my funny valentine
But since you've grown up
Your future is sewn up
From now on you're gonna be mine so

If I should smile with sweet surprise
It's just that you've grown up before my very eyes
You've turned into the prettiest girl I've ever seen
Happy birthday sweet sixteen

If I should smile with sweet surprise
It's just that you've grown up before my very eyes
You've turned into the prettiest girl I've ever seen
Happy birthday sweet sixteen

Tra la-la-la-la la-la-la-la
Happy birthday sweet sixteen
Tra la-la-la-la la-la-la-la
Happy birthday sweet sixteen
Tra la-la-la-la la-la-la-la
Happy birthday sweet sixteen
Tra la-la-la-la la-la-la-la
Happy birthday sweet sixteen
Tra la-la-la-la la-la-la-la",Neil Sedaka,1961,"[8, 8, 10, 21, 28, 45, 62]",7
8,Let There Be Drums,"Drums, drums, drums
Beat, beat, beat
Drum beat, beat drum
Drums, yeah! Duga, duga, duga, cha...
Beat, yo! Give me the drums
Go man, go man
Beat, beat, drums, drums, yeah, yeah, yea!
Duga, duga, duga, uh
Let there be drums... now!",The Tubes,1961,"[9, 7, 9, 16, 27, 30, 44, 69, 94]",9
9,Can't Help Falling In Love,"[Verse 1]
Wise men say only fools rush in
But I can't help falling in love with you
Shall I stay? Would it be a sin?
If I can't help falling in love with you

[Chorus]
Like a river flows
Surely to the sea
Darling, so it goes
Some things are meant to be

[Verse 2]
Take my hand, take my whole life, too
For I can't help falling in love with you

[Chorus]
Like a river flows
Surely to the sea
Darling, so it goes
Some things are meant to be

[Outro]
Take my hand, take my whole life, too
For I can't help falling in love with you
For I can't help falling in love with you",Elvis Presley,1961,"[10, 18, 41, 57]",4
